ns,nf,entropy,lt,ndev,pd,npt,exp,sexp,bugdensity,churn,churnp,bug
0,1.098612289,0.457032469,6.177252312,2.708050201,6.391917113,0.510825624,4.9698133,4.86753445,0.01459854,67.49999982,4.226833743,1
0,0,0,5.988961417,0.693147181,0,0.693147181,4.94875989,4.927253685,1,0,0,1
1.098612289,3.951243719,0.553470899,5.650800846,3.17805383,9.670104253,0.559615788,6.892641641,6.886531643,0,2892.499996,7.97022212,0
0,2.079441542,0.521959962,6.244894791,3.091042453,7.156176637,0.693147181,6.363028104,6.311734809,0,59.49999893,4.102643347,0
0.693147181,3.63758616,0.57085307,5.907582241,3.091042453,8.789660098,0.56710646,6.025865974,6.00635316,0,1146.999998,7.045776576,0
0,2.772588722,0.565755278,6.371184405,3.044522438,7.64921632,0.559615788,6.390240667,6.340359304,0,167.9999997,5.129898713,0
0.693147181,3.496507561,0.596724558,6.002614278,3.091042453,8.830689199,0.546543706,6.308098442,6.293419279,0,915.5000009,6.820562068,0
0.693147181,3.496507561,0.596724558,6.002614278,3.091042453,8.830689199,0.546543706,6.180016654,6.163314804,0,915.5000009,6.820562068,0
0.693147181,2.197224577,0.500921709,5.390085929,2.995732274,7.658227526,0.441832753,3.218875825,3.218875825,0,154.5000004,5.046645734,0
0.693147181,2.079441542,0.585503701,5.978252653,3.33220451,6.678342115,0.628608659,5.141663557,5.135798437,0.006024096,165.0000004,5.111987791,1
0.693147181,1.098612289,0.62802614,5.131869159,2.302585093,3.688879454,0.287682072,6.492239835,6.469250317,0.043478261,22.00000003,3.135494217,1
0.693147181,2.302585093,0.565895728,6.3011527,3.295836866,5.153291594,0.470003629,3.091042453,3.044522438,0.017699115,55.50000027,4.034240643,1
1.386294361,4.143134726,0.690796846,5.5500638,3.295836866,8.166500319,0.47198579,5.897153868,5.897153868,0,32.49965592,3.511535168,0
0.693147181,1.098612289,0.571034431,5.205836514,1.945910149,3.761200116,0.287682072,4.007333185,4.007333185,0.022222222,44.00000002,3.80666249,1
0.693147181,3.713572067,0.588018636,5.668197421,3.135494216,9.213834261,0.54910781,6.56526497,6.553933404,0,287.5000006,5.664695088,0
1.098612289,3.044522438,0.587997274,6.147042779,3.044522438,7.915713199,0.538996501,5.673323267,5.659482216,0,73.00000396,4.304065147,0
0.693147181,2.48490665,0.479195026,5.228431239,3.17805383,8.222822131,0.405465108,6.049733455,6.01615716,0,1130.5,7.031299465,0
1.098612289,3.091042453,0.596479179,5.94136671,3.135494216,8.496786382,0.622529614,6.6147256,6.603943825,0,388.5000004,5.964863866,0
0.693147181,3.63758616,0.64922361,5.504475372,3.091042453,9.107310472,0.56710646,6.452048954,6.439350371,0,118.9999977,4.787491723,0
0,0,0,3.688879454,1.945910149,4.465908119,0.693147181,6.907755279,6.845879875,0,1.000000014,0.693147188,0
0.693147181,0.693147181,0.693147181,5.736572297,2.772588722,5.549076085,0.405465108,6.357842267,6.309918278,0.33333333,2.000000028,1.098612298,1
0.693147181,1.945910149,0.589871311,6.635946556,3.33220451,4.905274778,0.451985123,4.382026635,4.369447852,0.03448276,27.99999847,3.367295777,1
0.693147181,1.386294361,0.60158613,6.433341941,3.258096538,3.610917913,0.405465108,3.401197382,3.401197382,0.076923075,12.00000039,2.564949387,1
0.693147181,1.098612289,0.665978754,5.439527535,2.708050201,3.688879454,0.510825624,6.238324625,6.198478716,0.2,4.000000007,1.609437914,1
0.693147181,0.693147181,0.693147181,5.669880923,2.63905733,4.369447852,0.405465108,1.098612289,1.098612289,0.142857141,6.000000094,1.945910162,1
0.693147181,2.197224577,0.439578394,6.411818268,3.258096538,4.875197323,0.441832753,6.118097198,6.084499413,0.001712329,582.9999991,6.369900981,1
0.693147181,1.945910149,0.508431672,6.469914548,3.218875825,3.218875825,0.619039208,5.686975356,5.66296048,0.012738854,77.49999948,4.363098618,1
0.693147181,1.945910149,0.576820454,6.421854529,3.135494216,5.147494477,0.619039208,4.59511985,4.59511985,0.008510638,116.5000003,4.766438336,1
0.693147181,3.63758616,0.645752082,5.496736726,3.091042453,8.18339737,0.610909082,5.866468057,5.846438775,0.008064516,122.9999999,4.820281565,1
0.693147181,2.302585093,0.545462102,6.176490776,2.995732274,6.593044534,0.587786665,2.397895273,2.397895273,0.006557377,151.5000012,5.027164604,1
0.693147181,0.693147181,0.693147181,5.758901774,1.098612289,2.564949357,0.405465108,3.218875825,3.218875825,0.005681818,175.0000002,5.170483996,1
0.693147181,0.693147181,0.693147181,5.416100402,0.693147181,2.944438979,0.405465108,3.891820298,3.891820298,0,3.999999808,1.609437874,0
0.693147181,1.609437912,0.013962479,5.318119994,0.693147181,3.761200116,0.470003629,3.555348061,3.555348061,0.003372681,295.5000001,5.692047219,1
0.693147181,0.693147181,0.693147181,6.775366091,1.098612289,3.761200116,0.405465108,3.970291914,3.970291914,0,53.99999938,4.007333174,0
0.693147181,0.693147181,0.693147181,6.778784898,1.098612289,3.761200116,0.405465108,3.931825633,3.931825633,0,9.00000046,2.302585139,0
0.693147181,0.693147181,0.693147181,6.661854741,1.098612289,3.663561646,0.405465108,3.850147602,3.850147602,0,145.9999994,4.990432583,0
0.693147181,0.693147181,0.693147181,6.385194399,1.098612289,3.433987204,0.405465108,3.688879454,3.688879454,0,114.0000003,4.744932131,0
0.693147181,0.693147181,0.693147181,6.356107661,1.098612289,3.36729583,0.405465108,3.63758616,3.63758616,0,116.0000003,4.762173938,0
0.693147181,0.693147181,0.693147181,6.368187186,1.098612289,3.36729583,0.405465108,3.583518938,3.583518938,0,145.0000003,4.983606624,0
0.693147181,0.693147181,0.693147181,6.32256524,1.098612289,2.833213344,0.405465108,3.401197382,3.401197382,0,311,5.743003188,0
0.693147181,0.693147181,0.693147181,6.00635316,1.098612289,2.708050201,0.405465108,3.33220451,3.33220451,0,213.9999997,5.370638027,0
0.693147181,2.397895273,0.611967754,6.104387306,2.995732274,7.104144093,0.546543706,4.852030264,4.787491743,0,118.0000007,4.779123499,0
0.693147181,3.583518938,0.58575301,5.888724053,3.091042453,8.914088349,0.527354925,6.109247583,6.091309882,0,915.5000053,6.820562073,0
0.693147181,3.401197382,0.596629644,6.040095968,3.044522438,8.46884293,0.530628251,5.521460918,5.501258211,0,754.0000046,6.626717755,0
0.693147181,3.688879454,0.5647867,5.858218828,3.091042453,8.875287128,0.559615788,5.929589143,5.908082938,0,1147,7.045776577,0
0.693147181,0.693147181,0.693147181,5.762051383,2.772588722,6.985641818,0.405465108,6.368187186,6.320768294,0,1.999999916,1.098612261,0
0.693147181,2.197224577,0.608287727,6.439705296,3.218875825,6.06610809,0.575364145,4.795790546,4.795790546,0,177,5.18178355,0
0.693147181,1.791759469,0.484229546,6.663132696,3.258096538,6.244166901,0.606135803,6.21860012,6.190315406,0,73.99999999,4.317488113,0
1.098612289,2.48490665,0.422466763,6.20573552,3.295836866,7.458186157,0.559615788,6.169610732,6.163314804,0,84.50000168,4.448516396,0
0.693147181,1.609437912,0.390024129,5.566051801,3.091042453,6.49375384,0.470003629,5.899897354,5.877735782,0,115.5000001,4.757891274,0
0.693147181,0.693147181,0.693147181,5.765191103,2.564949357,5.424950017,0.405465108,5.746203191,5.730099783,0,1.999999944,1.09861227,0
0.693147181,2.302585093,0.613496637,6.295266001,3.258096538,6.551080335,0.641853886,5.710427017,5.693732139,0,110.4999993,4.714024584,0
1.386294361,3.044522438,0.604127263,0,3.496507561,7.318539549,0.593063722,4.736198448,4.691347882,0,6758,8.818630229,0
0,0,0,5.676753802,2.708050201,4.043051268,0.693147181,4.248495242,3.951243719,0,4.00000001,1.609437914,0
0.693147181,1.945910149,0.58070939,5.613128106,3.688879454,5.583496309,0.693147181,7.498869734,7.449498005,0,54.00000033,4.007333191,0
0.693147181,0.693147181,0.302589898,5.541263545,2.63905733,2.833213344,0.693147181,6.439350371,5.655991811,0,7.499999986,2.140066162,0
0.693147181,1.609437912,0.55610616,5.707110265,3.610917913,4.48863637,0.693147181,6.335054251,6.304448802,0.027027027,36,3.610917913,1
0.693147181,1.098612289,0.506869115,5.202173506,2.944438979,3.496507561,0.693147181,6.184148891,6.150602768,0,96.50000005,4.579852379,0
0,0,0,5.583496309,2.63905733,2.197224577,0.693147181,7.337587744,6.86171134,0,1.000000025,0.693147193,0
0.693147181,1.098612289,0.634913811,6.485144012,3.610917913,1.609437912,0.693147181,7.286876412,7.242082359,0,8.000000385,2.19722462,0
0,0,0,5.613128106,2.63905733,1.098612289,0.693147181,4.304065093,3.135494216,0.11111111,8.000000054,2.197224583,1
0,0,0,5.583496309,2.63905733,2.302585093,0.693147181,4.158883083,3.044522438,0.019417476,50.49999994,3.941581806,1
0,0,0,5.613128106,2.63905733,1.945910149,0.693147181,4.262679877,3.555348061,0,1.000000092,0.693147227,0
0,0,0,5.537334267,2.564949357,1.609437912,0.693147181,7.088408779,6.625392368,0,1.500000062,0.916290757,0
0,0,0,5.484796933,2.48490665,3.496507561,0.693147181,6.899723107,6.464588304,0,1.99999992,1.098612262,0
0,0,0,5.484796933,2.397895273,2.079441542,0.693147181,2.397895273,1.791759469,0.199999997,4.00000008,1.609437928,1
1.098612289,1.791759469,0.620394239,5.592229989,3.17805383,5.84932478,0.693147181,3.737669618,3.737669618,0,10.99999942,2.484906601,0
0.693147181,1.609437912,0.444815178,6.479737766,3.583518938,5.176149733,0.693147181,6.880384082,6.856461985,0.006578947,150.999999,5.023880514,1
0,0,0,5.323009979,2.197224577,1.945910149,0.693147181,6.501289671,6.068425588,0,0.500000022,0.405465123,0
0,0,0,5.293304825,2.197224577,2.63905733,0.693147181,5.746203191,5.288267031,0,4.499999955,1.704748084,0
0.693147181,0.693147181,0.693147181,6.134482054,2.48490665,4.787491743,0.693147181,4.343805422,4.304065093,0.200000012,3.999999705,1.609437853,1
0.693147181,0.693147181,0.69285267,4.980176087,1.791759469,5.303304908,0.405465108,6.783325201,6.760414691,0.054054054,17.49999994,2.917770729,1
0.693147181,1.098612289,0.456993555,5.448173122,3.401197382,3.583518938,0.693147181,4.795790546,4.744932128,0.030769231,31.5,3.481240089,1
0,0,0,4.9698133,1.386294361,1.609437912,0.693147181,5.081404365,4.779123493,0,1.000000001,0.693147181,0
0.693147181,3.091042453,0.490505658,5.820487488,3.496507561,6.542471961,0.342944751,5.043425117,5.036952602,0.001980198,504.0000021,6.224558433,1
0.693147181,0.693147181,0.661819221,4.762173935,1.386294361,2.63905733,0.693147181,3.218875825,3.218875825,0.060606061,15.49999992,2.803360376,1
0,1.098612289,0.504830417,6.217271216,3.295836866,1.386294361,0.287682072,3.135494216,2.833213344,0.076923079,11.99999967,2.564949332,1
0.693147181,2.48490665,0.332127986,5.473320543,3.433987204,5.641907071,0.650587566,2.890371758,2.890371758,0.011560694,85.49999936,4.460144407,1
0,0,0,4.727387819,0.693147181,3.258096538,0.693147181,6.180016654,6.023447593,0.045454545,21,3.091042453,1
0.693147181,1.945910149,0.48774197,6.25876168,3.36729583,5.924255797,0.693147181,4.369447852,4.127134385,0,104.0000001,4.653960351,0
