ns,nf,entropy,lt,ndev,pd,npt,exp,sexp,bug
0,1.098612289,0.457032469,6.177252312,2.708050201,6.391917113,0.510825624,4.9698133,4.86753445,1
0,0,0,5.988961417,0.693147181,0,0.693147181,4.94875989,4.927253685,1
1.098612289,3.951243719,0.553470899,5.650800846,3.17805383,9.670104253,0.559615788,6.892641641,6.886531643,0
0,2.079441542,0.521959962,6.244894791,3.091042453,7.156176637,0.693147181,6.363028104,6.311734809,0
0.693147181,3.63758616,0.57085307,5.907582241,3.091042453,8.789660098,0.56710646,6.025865974,6.00635316,0
0,2.772588722,0.565755278,6.371184405,3.044522438,7.64921632,0.559615788,6.390240667,6.340359304,0
0.693147181,3.496507561,0.596724558,6.002614278,3.091042453,8.830689199,0.546543706,6.308098442,6.293419279,0
0.693147181,3.496507561,0.596724558,6.002614278,3.091042453,8.830689199,0.546543706,6.180016654,6.163314804,0
0.693147181,2.197224577,0.500921709,5.390085929,2.995732274,7.658227526,0.441832753,3.218875825,3.218875825,0
0.693147181,2.079441542,0.585503701,5.978252653,3.33220451,6.678342115,0.628608659,5.141663557,5.135798437,1
0.693147181,1.098612289,0.62802614,5.131869159,2.302585093,3.688879454,0.287682072,6.492239835,6.469250317,1
0.693147181,2.302585093,0.565895728,6.3011527,3.295836866,5.153291594,0.470003629,3.091042453,3.044522438,1
1.386294361,4.143134726,0.690796846,5.5500638,3.295836866,8.166500319,0.47198579,5.897153868,5.897153868,0
0.693147181,1.098612289,0.571034431,5.205836514,1.945910149,3.761200116,0.287682072,4.007333185,4.007333185,1
0.693147181,3.713572067,0.588018636,5.668197421,3.135494216,9.213834261,0.54910781,6.56526497,6.553933404,0
1.098612289,3.044522438,0.587997274,6.147042779,3.044522438,7.915713199,0.538996501,5.673323267,5.659482216,0
0.693147181,2.48490665,0.479195026,5.228431239,3.17805383,8.222822131,0.405465108,6.049733455,6.01615716,0
1.098612289,3.091042453,0.596479179,5.94136671,3.135494216,8.496786382,0.622529614,6.6147256,6.603943825,0
0.693147181,3.63758616,0.64922361,5.504475372,3.091042453,9.107310472,0.56710646,6.452048954,6.439350371,0
0,0,0,3.688879454,1.945910149,4.465908119,0.693147181,6.907755279,6.845879875,0
0.693147181,0.693147181,0.693147181,5.736572297,2.772588722,5.549076085,0.405465108,6.357842267,6.309918278,1
0.693147181,1.945910149,0.589871311,6.635946556,3.33220451,4.905274778,0.451985123,4.382026635,4.369447852,1
0.693147181,1.386294361,0.60158613,6.433341941,3.258096538,3.610917913,0.405465108,3.401197382,3.401197382,1
0.693147181,1.098612289,0.665978754,5.439527535,2.708050201,3.688879454,0.510825624,6.238324625,6.198478716,1
0.693147181,0.693147181,0.693147181,5.669880923,2.63905733,4.369447852,0.405465108,1.098612289,1.098612289,1
0.693147181,2.197224577,0.439578394,6.411818268,3.258096538,4.875197323,0.441832753,6.118097198,6.084499413,1
0.693147181,1.945910149,0.508431672,6.469914548,3.218875825,3.218875825,0.619039208,5.686975356,5.66296048,1
0.693147181,1.945910149,0.576820454,6.421854529,3.135494216,5.147494477,0.619039208,4.59511985,4.59511985,1
0.693147181,3.63758616,0.645752082,5.496736726,3.091042453,8.18339737,0.610909082,5.866468057,5.846438775,1
0.693147181,2.302585093,0.545462102,6.176490776,2.995732274,6.593044534,0.587786665,2.397895273,2.397895273,1
0.693147181,0.693147181,0.693147181,5.758901774,1.098612289,2.564949357,0.405465108,3.218875825,3.218875825,1
0.693147181,0.693147181,0.693147181,5.416100402,0.693147181,2.944438979,0.405465108,3.891820298,3.891820298,0
0.693147181,1.609437912,0.013962479,5.318119994,0.693147181,3.761200116,0.470003629,3.555348061,3.555348061,1
0.693147181,0.693147181,0.693147181,6.775366091,1.098612289,3.761200116,0.405465108,3.970291914,3.970291914,0
0.693147181,0.693147181,0.693147181,6.778784898,1.098612289,3.761200116,0.405465108,3.931825633,3.931825633,0
0.693147181,0.693147181,0.693147181,6.661854741,1.098612289,3.663561646,0.405465108,3.850147602,3.850147602,0
0.693147181,0.693147181,0.693147181,6.385194399,1.098612289,3.433987204,0.405465108,3.688879454,3.688879454,0
0.693147181,0.693147181,0.693147181,6.356107661,1.098612289,3.36729583,0.405465108,3.63758616,3.63758616,0
0.693147181,0.693147181,0.693147181,6.368187186,1.098612289,3.36729583,0.405465108,3.583518938,3.583518938,0
0.693147181,0.693147181,0.693147181,6.32256524,1.098612289,2.833213344,0.405465108,3.401197382,3.401197382,0
0.693147181,0.693147181,0.693147181,6.00635316,1.098612289,2.708050201,0.405465108,3.33220451,3.33220451,0
0.693147181,2.397895273,0.611967754,6.104387306,2.995732274,7.104144093,0.546543706,4.852030264,4.787491743,0
0.693147181,3.583518938,0.58575301,5.888724053,3.091042453,8.914088349,0.527354925,6.109247583,6.091309882,0
0.693147181,3.401197382,0.596629644,6.040095968,3.044522438,8.46884293,0.530628251,5.521460918,5.501258211,0
0.693147181,3.688879454,0.5647867,5.858218828,3.091042453,8.875287128,0.559615788,5.929589143,5.908082938,0
0.693147181,0.693147181,0.693147181,5.762051383,2.772588722,6.985641818,0.405465108,6.368187186,6.320768294,0
0.693147181,2.197224577,0.608287727,6.439705296,3.218875825,6.06610809,0.575364145,4.795790546,4.795790546,0
0.693147181,1.791759469,0.484229546,6.663132696,3.258096538,6.244166901,0.606135803,6.21860012,6.190315406,0
1.098612289,2.48490665,0.422466763,6.20573552,3.295836866,7.458186157,0.559615788,6.169610732,6.163314804,0
0.693147181,1.609437912,0.390024129,5.566051801,3.091042453,6.49375384,0.470003629,5.899897354,5.877735782,0
0.693147181,0.693147181,0.693147181,5.765191103,2.564949357,5.424950017,0.405465108,5.746203191,5.730099783,0
0.693147181,2.302585093,0.613496637,6.295266001,3.258096538,6.551080335,0.641853886,5.710427017,5.693732139,0
1.386294361,3.044522438,0.604127263,0,3.496507561,7.318539549,0.593063722,4.736198448,4.691347882,0
0,0,0,5.676753802,2.708050201,4.043051268,0.693147181,4.248495242,3.951243719,0
0.693147181,1.945910149,0.58070939,5.613128106,3.688879454,5.583496309,0.693147181,7.498869734,7.449498005,0
0.693147181,0.693147181,0.302589898,5.541263545,2.63905733,2.833213344,0.693147181,6.439350371,5.655991811,0
0.693147181,1.609437912,0.55610616,5.707110265,3.610917913,4.48863637,0.693147181,6.335054251,6.304448802,1
0.693147181,1.098612289,0.506869115,5.202173506,2.944438979,3.496507561,0.693147181,6.184148891,6.150602768,0
0,0,0,5.583496309,2.63905733,2.197224577,0.693147181,7.337587744,6.86171134,0
0.693147181,1.098612289,0.634913811,6.485144012,3.610917913,1.609437912,0.693147181,7.286876412,7.242082359,0
0,0,0,5.613128106,2.63905733,1.098612289,0.693147181,4.304065093,3.135494216,1
0,0,0,5.583496309,2.63905733,2.302585093,0.693147181,4.158883083,3.044522438,1
0,0,0,5.613128106,2.63905733,1.945910149,0.693147181,4.262679877,3.555348061,0
0,0,0,5.537334267,2.564949357,1.609437912,0.693147181,7.088408779,6.625392368,0
0,0,0,5.484796933,2.48490665,3.496507561,0.693147181,6.899723107,6.464588304,0
0,0,0,5.484796933,2.397895273,2.079441542,0.693147181,2.397895273,1.791759469,1
1.098612289,1.791759469,0.620394239,5.592229989,3.17805383,5.84932478,0.693147181,3.737669618,3.737669618,0
0.693147181,1.609437912,0.444815178,6.479737766,3.583518938,5.176149733,0.693147181,6.880384082,6.856461985,1
0,0,0,5.323009979,2.197224577,1.945910149,0.693147181,6.501289671,6.068425588,0
0,0,0,5.293304825,2.197224577,2.63905733,0.693147181,5.746203191,5.288267031,0
0.693147181,0.693147181,0.693147181,6.134482054,2.48490665,4.787491743,0.693147181,4.343805422,4.304065093,1
0.693147181,0.693147181,0.69285267,4.980176087,1.791759469,5.303304908,0.405465108,6.783325201,6.760414691,1
0.693147181,1.098612289,0.456993555,5.448173122,3.401197382,3.583518938,0.693147181,4.795790546,4.744932128,1
0,0,0,4.9698133,1.386294361,1.609437912,0.693147181,5.081404365,4.779123493,0
0.693147181,3.091042453,0.490505658,5.820487488,3.496507561,6.542471961,0.342944751,5.043425117,5.036952602,1
0.693147181,0.693147181,0.661819221,4.762173935,1.386294361,2.63905733,0.693147181,3.218875825,3.218875825,1
0,1.098612289,0.504830417,6.217271216,3.295836866,1.386294361,0.287682072,3.135494216,2.833213344,1
0.693147181,2.48490665,0.332127986,5.473320543,3.433987204,5.641907071,0.650587566,2.890371758,2.890371758,1
0,0,0,4.727387819,0.693147181,3.258096538,0.693147181,6.180016654,6.023447593,1
0.693147181,1.945910149,0.48774197,6.25876168,3.36729583,5.924255797,0.693147181,4.369447852,4.127134385,0
