ns,nf,entropy,lt,ndev,pd,npt,exp,sexp,bugdensity,churn,churnp,bug
0,1.098612289,0.458485232,6.5386221,1.945910149,3.610917913,0.510825624,8.218787156,8.218787156,0.010928962,90.50000045,4.516338977,1
0,0,0,6.508769137,1.386294361,0,0.693147181,9.502412793,9.502412793,0,4.000000165,1.609437945,0
0,0.693147181,0,3.569532696,0.693147181,2.079441542,0.693147181,7.319202459,7.319202459,1,0,0,1
0,1.098612289,0,0,0.693147181,6.12905021,0.510825624,9.457590999,9.457590999,0,0,0,0
0,6.061456919,0.483807506,5.144780329,0.693147181,6.728628613,0.018476277,8.700181193,8.700181193,0,17710.50001,9.781969425,0
0,0.693147181,0,4.471638793,0.693147181,0,0.693147181,7.582738489,7.582738489,0,11,2.484906649,0
0,0,0,4.532599493,0.693147181,1.945910149,0.693147181,7.571473649,7.571473649,0,0.99999998,0.693147171,0
0,3.737669618,0.53774181,5.84513046,0.693147181,7.697575347,0.112477983,9.154933365,9.154933365,0,1873.999999,7.536363938,0
0,0,0,7.349873705,2.397895273,2.397895273,0.693147181,7.625107148,7.625107148,0,3.000000078,1.38629438,0
0,1.945910149,0.577548942,7.002675773,2.397895273,3.295836866,0.619039208,6.959398512,6.959398512,0,40.50000022,3.725693432,0
0,0.693147181,0.665601408,6.997595983,1.945910149,2.197224577,0.693147181,8.345930262,8.345930262,0,5.500000046,1.871802184,0
0,0.693147181,0.630187147,6.222576268,1.791759469,1.098612289,0.693147181,6.788971743,6.788971743,0,36.99999994,3.637586158,0
0,1.386294361,0.156537978,6.366470448,1.386294361,1.945910149,0.405465108,9.467305472,9.467305472,0.016806723,58.49999991,4.085976311,1
0,1.098612289,0.101123432,5.84547492,1.386294361,1.098612289,0.693147181,9.417679692,9.417679692,0,39.99999997,3.713572066,0
0,0,0,4.997212274,0.693147181,0,0.693147181,9.405907156,9.405907156,0,0.999999987,0.693147174,0
0,1.609437912,0.470354929,6.30151947,1.386294361,5.081404365,0.693147181,9.405742668,9.405742668,0,124.0000009,4.828313745,0
0,0,0,5.384495063,0.693147181,0.693147181,0.693147181,9.403519439,9.403519439,0,3.000000045,1.386294372,0
0,0.693147181,0.622252807,5.830415126,0.693147181,1.386294361,0.693147181,9.282940064,9.282940064,0,3.499999881,1.50407737,0
0,2.302585093,0.646553988,5.579729826,0.693147181,4.465908119,0.587786665,9.20140053,9.20140053,0,25.00000008,3.258096541,0
0,1.098612289,0.497786367,5.886104031,0.693147181,3.828641396,0.693147181,9.182146638,9.182146638,0,8.499999561,2.251291752,0
0,1.791759469,0.618685124,6.636602508,1.945910149,4.919980926,0.405465108,9.785210645,9.785210645,0,30.50000083,3.449987572,0
0,0,0,6.338594078,1.098612289,5.765191103,0.693147181,9.583213415,9.583213415,0,1.00000028,0.693147321,0
0,6.563855527,0.615745853,4.792299163,0.693147181,9.654962089,0.002816903,7.284134806,7.284134806,7.68E-06,130219.0001,11.77698061,1
0,5.894402834,0,5.072777696,0.693147181,0,0.002751033,5.897153868,5.897153868,1,0,0,1
0,0,0,4.127134385,0.693147181,4.262679877,0.693147181,9.203013597,9.203013597,0,0,0,0
0,0.693147181,0.268083672,5.763622475,0.693147181,2.772588722,0.693147181,9.193295937,9.193295937,0,54.4999999,4.016383019,0
0,0,0,2.197224577,1.945910149,5.963579344,0.693147181,6.879355804,6.879355804,0,1,0.693147181,0
0,0,0,7.264730178,0.693147181,4.219507705,0.693147181,9.285262298,9.285262298,0,78.50000029,4.375757025,0
0,0,0,5.613128106,2.397895273,2.564949357,0.693147181,8.071530894,8.071530894,0,4.000000095,1.609437931,0
0,0,0,5.480638923,2.197224577,4.394449155,0.693147181,8.07121854,8.07121854,0,3.000000059,1.386294376,0
0,0,0,7.208600338,2.197224577,3.258096538,0.693147181,3.465735903,3.465735903,0,14.00000018,2.708050213,0
0,0,0,8.234564993,2.397895273,4.454347296,0.693147181,8.069029329,8.069029329,0,19.49999911,3.020424843,0
0,0,0,5.283203729,1.945910149,2.890371758,0.693147181,7.74109909,7.74109909,0,2.499999992,1.252762966,0
0,1.098612289,0.554107091,6.378991954,2.48490665,4.997212274,0.693147181,7.740664402,7.740664402,0,18.50000017,2.970414474,0
0,0.693147181,0.563513116,5.129898715,2.48490665,6.817830571,0.693147181,9.333088837,4.736198448,0,27.49999997,3.349904086,0
0,0,0,5.80814249,2.197224577,4.605170186,0.693147181,7.736307097,7.736307097,0,3.99999991,1.609437894,0
0,0.693147181,0.594032742,7.654917048,2.48490665,3.970291914,0.693147181,7.73587032,7.73587032,0,4.00000085,1.609438082,0
0,0,0,6.154858094,2.197224577,2.564949357,0.693147181,7.733683571,7.733683571,0,12.49999992,2.602689679,0
0,0,0,6.555356892,2.48490665,3.218875825,0.693147181,8.645410489,8.645410489,0,3.999999861,1.609437885,0
0,0,0,8.689296048,2.564949357,2.302585093,0.693147181,3.33220451,3.33220451,0,0.500000383,0.405465363,0
0,1.945910149,0.569873404,7.256801196,2.564949357,6.658011046,0.619039208,7.73280753,7.73280753,0,210.000002,5.351858143,0
0,0,0,7.249925537,2.48490665,1.098612289,0.693147181,7.728855824,7.728855824,0,1.499999886,0.916290686,0
0,0,0,5.717027701,1.098612289,4.189654742,0.693147181,7.72841578,7.72841578,0,1.499999985,0.916290726,0
0,0,0,4.510859507,2.079441542,4.060443011,0.693147181,8.058960018,8.058960018,0,22.5,3.157000421,0
0,0,0,7.404887576,2.302585093,0.693147181,0.693147181,8.049107721,8.049107721,0,24.4999995,3.238678433,0
0,0,0,7.201916318,2.197224577,1.386294361,0.693147181,3.295836866,3.295836866,0,0.999999792,0.693147077,0
0,0,0,7.023758955,2.772588722,0,0.693147181,6.091309882,6.091309882,0,5.999999907,1.945910136,0
0,1.098612289,0.640527678,5.327876169,2.079441542,3.583518938,0.693147181,7.724446646,7.724446646,0,11.50000001,2.525728645,0
0,2.48490665,0.657842632,5.667003223,2.564949357,6.963189986,0.405465108,7.723120092,7.723120092,0,38.00000004,3.663561647,0
0,0,0,6.156978986,2.197224577,1.945910149,0.693147181,7.717351272,7.717351272,0,7.999999998,2.197224577,0
0,0,0,5.723585102,2.197224577,4.007333185,0.693147181,7.365180126,7.365180126,0,1.000000145,0.693147253,0
0,0,0,5.257495372,2.079441542,3.091042453,0.693147181,7.7164608,7.7164608,0,5.000000006,1.79175947,0
0,0,0,6.137727054,2.197224577,5.545177444,0.693147181,7.714231145,7.714231145,0,6.000000006,1.94591015,0
0,0,0,6.69950034,2.079441542,5.323009979,0.693147181,7.363279587,7.363279587,0,5.999999809,1.945910122,0
0,0,0,5.780743516,1.098612289,4.343805422,0.693147181,8.045267717,8.045267717,0,46.50000007,3.860729712,0
0,0,0,6.091309882,2.302585093,1.098612289,0.693147181,8.04494705,8.04494705,0,13.50000005,2.674148653,0
0,0.693147181,0.65644495,6.34738921,2.63905733,4.094344562,0.693147181,6.086774727,6.086774727,0,33.5000001,3.540959327,0
0,0,0,6.061456919,2.302585093,4.709530201,0.693147181,8.044305407,8.044305407,0,21.49999985,3.113515302,0
0,0,0,8.873608102,2.48490665,1.386294361,0.693147181,7.36264527,7.36264527,0,22.49999997,3.15700042,0
0,0,0,6.80461452,2.397895273,4.882801923,0.693147181,7.362010551,7.362010551,0,47.00000006,3.871201012,0
0,1.609437912,0.601707932,7.683956015,2.63905733,5.342334252,0.693147181,6.637258031,6.637258031,0,99.49999956,4.610157723,0
0,0,0,6.159095388,2.197224577,5.843544417,0.693147181,9.29880902,4.691347882,0,58.00000003,4.077537444,0
0,1.386294361,0.580682746,7.137874444,2.302585093,6.352629396,0.693147181,7.711101252,7.711101252,0,163.0000004,5.09986643,0
0,1.098612289,0.693147181,5.430806549,2.079441542,1.945910149,0.287682072,7.709308333,7.709308333,0,3.000000014,1.386294365,0
0,0,0,4.219507705,2.197224577,6.280395839,0.693147181,8.042378005,8.042378005,0,1.499999987,0.916290726,0
0,0,0,7.260522598,2.48490665,2.708050201,0.693147181,7.707512195,7.707512195,0,2.999999799,1.386294311,0
0,0.693147181,0.685733838,5.209486153,2.397895273,0,0.693147181,7.361375429,7.361375429,0,3.499999958,1.504077387,0
0,0,0,6.763884909,2.397895273,2.833213344,0.693147181,10.01860036,10.01860036,0,14.50000019,2.740840036,0
0,0,0,3.850147602,1.791759469,5.659482216,0.693147181,7.356918242,7.356918242,0,10.5,2.442347035,0
