ns,nf,entropy,lt,ndev,pd,npt,exp,sexp,bug,bugdensity,churn,churnp
0,1.098612289,0.210836214,6.001414878,3.465735903,6.401917197,0.693147181,6.049733455,3.091042453,0,0,414.5000003,6.029482615
0.693147181,0.693147181,0.361592196,5.156177599,2.63905733,4.094344562,0.693147181,7.010311867,6.395261598,0,0,39.00000008,3.688879456
0,0,0,7.609862201,4.394449155,0.693147181,0.693147181,2.197224577,0.693147181,0,0,44.49999997,3.817712325
0,0,0,5.323009979,1.791759469,3.091042453,0.693147181,6.163314804,3.433987204,0,0,4.499999994,1.704748091
0,0,0,6.685860947,1.791759469,1.098612289,0.693147181,8.947546015,2.995732274,0,0,1.5,0.916290732
0,4.65396035,0.615391996,5.173455765,3.784189634,0,0.510825624,7.884952946,5.135798437,0,0,249.999992,5.525452907
0,0.693147181,0.441332875,6.827629235,2.708050201,5.170483995,0.693147181,7.780720886,5.605802066,0,0,15.50000016,2.803360391
0,2.397895273,0.55096487,4.625863682,1.098612289,5.866468057,0.693147181,8.067776196,4.997212274,1,0.000950119,1051.5,6.958923565
1.098612289,2.079441542,0.309240557,7.384765554,5.003946306,6.169610732,0.693147181,6.289715571,3.496507561,0,0,159.9999986,5.081404356
0,0,0,4.990432587,0.693147181,0.693147181,0.693147181,7.519692404,5.170483995,0,0,0.499999995,0.405465105
1.609437912,2.302585093,0.536419104,5.428028973,3.33220451,6.091309882,0.587786665,7.496097345,5.476463552,0,0,32.49999991,3.511545436
0,0,0,4.955827058,0.693147181,1.609437912,0.693147181,7.342779189,4.663439094,0,0,11.00000001,2.484906651
0,0,0,7.013915475,4.787491743,3.258096538,0.693147181,7.302496424,3.970291914,0,0,0.99999999,0.693147176
0.693147181,1.098612289,0.671003875,6.007173841,4.110873864,5.170483995,0.510825624,7.398174093,5.793013608,0,0,17.9999999,2.944438974
0,0,0,5.955837369,0.693147181,0.693147181,0.693147181,6.359573869,3.891820298,0,0,18.0000001,2.944438984
1.098612289,1.098612289,0.627348632,6.778405607,4.33073334,5.80814249,0.693147181,8.019941688,4.615120517,0,0,8.499999365,2.251291732
0,0,0,6.944087208,4.700480366,3.912023005,0.693147181,8.096817471,4.219507705,0,0,11.4999999,2.525728636
2.302585093,4.465908119,0.598266427,7.227645804,5.308267697,8.172164452,0.362405619,8.049746291,7.622174595,1,0.002277904,437.9999757,6.084499358
0.693147181,2.197224577,0.650684674,4.909381561,4.127134385,3.912023005,0.200670695,7.123672785,6.776506992,0,0,41.5,3.749504076
0.693147181,2.302585093,0.560384758,4.881285622,4.127134385,6.747586527,0.530628251,7.114769448,6.763884909,0,0,78.00000062,4.36944786
3.218875825,5.010635294,0.596519347,6.60940315,5.676753802,9.528430401,0.510825624,8.907747687,8.870241567,1,0.000683293,1462.5,7.288586106
0,1.098612289,0.412950599,5.398162702,2.079441542,7.125283092,0.693147181,8.830543011,1.791759469,0,0,84.00000015,4.442651258
1.098612289,1.386294361,0.638913001,6.629363253,4.343805422,5.375278408,0.693147181,6.523562306,4.158883083,0,0,20.49999991,3.068052931
0,1.791759469,0.335081179,5.95410876,3.044522438,6.212606096,0.510825624,7.946263644,5.697093487,1,0.008849558,111.9999998,4.727387817
0.693147181,2.397895273,0.262484438,6.389782966,4.418840608,5.752572639,0.492476485,8.633196867,5.736572297,0,0,157.9999994,5.068904199
0,0.693147181,0.68407656,6.425679069,2.708050201,4.317488114,0.693147181,9.055089087,2.564949357,0,0,9.499999905,2.351375248
0.693147181,1.609437912,0.35814745,6.287486744,1.945910149,6.974478911,0.470003629,7.712890961,4.94875989,0,0,229.9999999,5.44241771
1.098612289,4.007333185,0.676353216,6.890868034,4.882801923,7.58781722,0.310154929,5.908082938,4.912654886,0,0,119.5000075,4.791649815
0,0.693147181,0.693147181,4.8978398,2.63905733,4.934473933,0.405465108,7.689371108,6.432940093,0,0,11.00000001,2.484906651
0,1.098612289,0.49802273,5.264415815,1.098612289,5.141663557,0.693147181,2.397895273,1.386294361,0,0,10.5000002,2.442347052
0.693147181,1.609437912,0.192232527,4.770684624,1.386294361,1.791759469,0.182321557,6.504288174,6.469250317,0,0,28.50000017,3.384390269
0.693147181,2.397895273,0.574760103,6.456341421,3.218875825,7.593877845,0.597837001,8.933927892,6.877296071,0,0,169.9999978,5.141663544
1.386294361,2.197224577,0.681385618,5.248192979,3.044522438,7.271008538,0.36772478,7.68386398,5.693732139,0,0,11.00000057,2.484906697
1.791759469,1.945910149,0.595040034,6.501075147,4.290459441,6.728628613,0.693147181,7.967280179,6.495265556,0,0,23.00000052,3.178053852
0,0.693147181,0.690157822,6.65221766,3.663561646,5.65248918,0.693147181,9.007121989,2.708050201,0,0,5.499999596,1.871802115
2.564949357,3.784189634,0.496608134,5.817719741,4.96284463,8.214194415,0.546543706,8.393442384,7.993619995,0,0,680.4999961,6.524296245
1.098612289,2.302585093,0.469029933,6.687108608,4.852030264,7.783640596,0.693147181,6.440946541,3.784189634,0,0,338.4999968,5.827473937
0,0,0,4.17438727,2.63905733,6.487684018,0.693147181,8.678801707,3.135494216,0,0,10.5,2.442347035
1.609437912,2.302585093,0.664896907,7.336481081,4.997212274,6.429719478,0.641853886,8.854236693,6.542471961,0,0,10.49999739,2.442346809
0,0.693147181,0.407634976,6.735780014,3.135494216,4.875197323,0.405465108,7.790696031,2.564949357,0,0,9.000000186,2.302585112
1.609437912,2.197224577,0.287287302,6.854706058,4.955827058,5.866468057,0.510825624,8.686935966,8.408716715,0,0,1165.000002,7.061334369
0,1.098612289,0.210663531,5.996452089,3.496507561,8.552560335,0.693147181,6.056784013,3.218875825,0,0,415.0000005,6.030685262
0,1.791759469,0.602045731,4.757891273,1.609437912,4.276666119,0.405465108,7.769800996,5.641907071,0,0,618.0000002,6.428105273
0,2.197224577,0.607273111,6.079424548,1.386294361,7.372746366,0.510825624,8.168486417,5.476463552,0,0,433.0000013,6.073044537
2.197224577,5.003946306,0.611903967,6.357481623,5.003946306,9.411156511,0.549013279,7.272398393,7.133295955,1,7.88E-05,12684.49998,9.448214887
1.791759469,2.48490665,0.556868001,7.475575414,4.890349128,5.298317367,0.606135803,5.545177444,5.424950017,0,0,226.4999906,5.427150197
0,4.418840608,0,0,3.044522438,10.68818786,0.135036284,7.224753406,6.490723535,0,0,0,0
