ns,nf,entropy,lt,ndev,pd,npt,exp,sexp,bug,bugdensity,churn,churnp
0,2.833213344,0.690599229,4.322963293,2.302585093,7.228388452,0.600773861,6.573680167,2.890371758,0,0,161.9999999,5.0937502
0,1.386294361,0.628076219,5.361292166,0.693147181,4.770684624,0.693147181,8.503499864,6.981934677,1,0.014285714,68.99999998,4.248495242
0,0,0,5.82008293,1.098612289,1.098612289,0.693147181,9.170871628,8.240385116,0,0,16.49999988,2.862200874
1.098612289,4.382026635,0.597116251,4.463462602,1.386294361,8.783702699,0.38865799,7.515889085,7.073269717,1,0.000166085,6019.999997,8.703008637
0,1.791759469,0.575113969,5.204922019,1.098612289,7.967626739,0.606135803,8.314587291,4.454347296,0,0,119.9999998,4.795790544
0,2.079441542,0.539023563,5.747400556,1.098612289,7.703007682,0.628608659,8.311643949,4.304065093,0,0,407.9999997,6.013715155
0,2.197224577,0.375182752,5.625220152,1.098612289,7.443663683,0.36772478,7.986504939,3.761200116,0,0,514.9999991,6.246106764
0,2.197224577,0,5.609878713,0.693147181,0,0.105360516,7.390181428,2.302585093,0,0,0,0
0,0,0,6.364750757,0.693147181,5.455321115,0.693147181,8.284251798,3.951243719,0,0,2.00000008,1.098612315
0,0,0,6.364750757,0.693147181,5.446737372,0.693147181,8.283999304,3.931825633,0,0,2.00000008,1.098612315
0,4.59511985,0,0,1.098612289,0,0.010050336,6.340359304,4.605170186,0,0,0,0
0,1.098612289,0.582042466,5.50261783,0.693147181,6.576469569,0.510825624,8.303257121,4.17438727,0,0,2.999999677,1.38629428
0,0,0,6.364750757,0.693147181,5.446737372,0.693147181,8.283746747,3.912023005,0,0,2.00000008,1.098612315
0,1.386294361,0.510620932,6.085637717,1.098612289,6.632001777,0.559615788,7.850103545,3.401197382,0,0,292.9999995,5.683579766
0,0,0,6.276643489,0.693147181,1.386294361,0.693147181,7.401841579,2.833213344,0,0,31.0000001,3.465735906
0,0,0,6.282266747,0.693147181,0,0.693147181,7.39387829,2.772588722,0,0,8.000000049,2.197224583
0,1.098612289,0.569802989,6.409077789,0.693147181,0,0.510825624,7.393263095,2.708050201,0,0,237.4999996,5.474369309
0,0,0,0,0.693147181,5.455321115,0.693147181,8.286773231,4.127134385,0,0,0,0
0,0,0,6.366470448,0.693147181,4.219507705,0.693147181,8.303999971,4.189654742,0,0,0.99999977,0.693147066
0,0,0,2.944438979,1.098612289,5.129898715,0.693147181,8.26178468,3.891820298,0,0,1.000000008,0.693147185
0,1.098612289,0.524330951,6.558670504,1.098612289,0,0.287682072,7.98752448,3.828641396,0,0,275.9999998,5.624017505
0,1.098612289,0.538360274,6.424869024,1.098612289,0,0.287682072,7.851661178,3.526360525,0,0,260.5000001,5.566434284
0,0.693147181,0.528397683,6.730421264,0.693147181,0,0.405465108,7.391415235,2.48490665,0,0,32.0000005,3.496507577
0,1.791759469,0.404308825,5.946728653,1.098612289,0,0.15415068,8.313116703,4.382026635,0,0,295.0000001,5.690359455
0,0,0,7.116394144,1.098612289,1.386294361,0.693147181,7.310550159,4.624972813,0,0,1.000000388,0.693147375
0,2.197224577,0,0,1.098612289,8.142645186,0.510825624,8.286773231,4.127134385,0,0,0,0
0,0.693147181,0.482044715,6.605974282,1.098612289,0,0.693147181,7.988203597,3.871201011,0,0,6.500000063,2.014903029
0,0,0,2.944438979,1.098612289,0,0.693147181,7.850493181,3.433987204,0,0,5.500000008,1.871802178
0,0,0,2.944438979,1.098612289,0,0.693147181,7.311218384,4.634728988,0,0,4.5,1.704748092
0,0,0,2.944438979,1.098612289,1.386294361,0.693147181,7.309881486,4.615120517,0,0,1.000000008,0.693147185
0,4.59511985,0,4.026793652,0.693147181,0,0.010050336,7.368339686,4.605170186,0,0,0,0
0,0.693147181,0.14405769,5.863631176,1.609437912,5.455321115,0.693147181,8.52277757,5.655991811,1,0.004962779,200.4999999,5.305789381
0,0,0,3.401197382,1.386294361,3.80666249,0.693147181,8.292298107,5.505331536,0,0,17,2.890371758
0,2.302585093,0,4.428433007,0.693147181,0,0.09531018,5.998936562,2.48490665,0,0,0,0
0,2.079441542,0.230939705,4.295583278,1.609437912,4.762173935,0.318453731,4.890349128,2.890371758,0,0,6.500000198,2.014903047
0,1.098612289,0.693147181,3.320228319,1.386294361,5.398162702,0.693147181,8.772455373,5.934894196,0,0,6.000000001,1.945910149
0.693147181,0.693147181,0.656670975,6.515453157,1.945910149,5.843544417,0.693147181,2.995732274,2.079441542,0,0,15.99999999,2.833213343
0,2.944438979,0.158997507,3.100566335,1.791759469,4.882801923,0.100083459,5.568344504,5.33753808,0,0,39.00000019,3.688879459
0.693147181,0.693147181,0.675815925,6.146329258,1.609437912,2.890371758,0.693147181,8.32215107,6.489204931,1,0.080000002,11.49999973,2.525728622
0,1.098612289,0,5.455321115,0.693147181,0,0.287682072,8.896314324,7.92551898,0,0,0,0
0.693147181,2.079441542,0.668561148,5.672463791,2.48490665,4.094344562,0.318453731,9.242032819,7.82084088,0,0,28.50000008,3.384390266
0,1.098612289,0,1.945910149,1.386294361,4.158883083,0.693147181,9.16805898,6.142037406,0,0,0.500000004,0.405465111
0,0,0,6.410174882,1.386294361,3.17805383,0.693147181,8.357493813,5.613128106,0,0,21.50000009,3.113515313
0,1.098612289,0,3.295836866,1.609437912,4.934473933,0.510825624,6.618738984,3.218875825,0,0,0,0
0,0.693147181,0.688247542,5.007296393,0.693147181,3.610917913,0.693147181,6.063785209,5.680172609,1,0.044444444,21.50000003,3.113515311
0.693147181,0.693147181,0.691008621,5.187385806,1.609437912,2.48490665,0.693147181,8.050703381,7.307872781,0,0,6.500000012,2.014903022
0,0,0,6.588926478,1.609437912,1.609437912,0.693147181,7.921535632,5.214935758,1,0.500000085,0.99999966,0.693147011
0,0,0,4.007333185,1.098612289,2.079441542,0.693147181,7.905810313,5.170483995,0,0,3.50000001,1.504077399
0.693147181,1.386294361,0.644370461,5.6776096,2.302585093,3.931825633,0.693147181,7.787382026,6.766191715,0,0,28.49999964,3.384390251
0,0,0,6.311734809,1.098612289,0,0.693147181,7.484930283,4.48863637,1,0.051282051,18.49999993,2.970414462
0,0,0,5.023880521,1.945910149,3.135494216,0.693147181,1.386294361,0.693147181,0,0,1.000000067,0.693147214
0.693147181,0.693147181,0.681085049,6.619406318,1.609437912,3.36729583,0.693147181,8.779865101,7.829630389,0,0,11.00000016,2.484906663
0,0,0,4.025351691,1.386294361,4.465908119,0.693147181,8.618485443,5.771441123,0,0,4.999999978,1.791759465
0,0,0,0,0.693147181,0,0.693147181,5.429345629,5.231108617,0,0,0,0
0,1.098612289,0,0,0.693147181,0,0.287682072,5.648974238,5.393627546,0,0,0,0
0,1.098612289,0,5.1780312,0.693147181,0,0.287682072,5.579729826,5.351858133,0,0,0,0
0,0,0,0,0.693147181,0,0.693147181,5.429345629,5.231108617,0,0,0,0
0,0.693147181,0,0,0.693147181,0,0.405465108,5.429345629,5.231108617,0,0,0,0
0,0.693147181,0.559384479,4.369447852,1.386294361,5.872117789,0.693147181,9.253495642,6.285998095,0,0,28,3.36729583
0.693147181,2.708050201,0.690323603,5.399368611,2.397895273,4.941642423,0.624154309,9.219894585,8.443331343,0,0,32.99999848,3.52636048
0,1.609437912,0.553512603,5.552959585,2.397895273,6.872128101,0.587786665,9.209239767,6.214608098,0,0,28.99999951,3.401197365
0,0,0,4.343805422,1.386294361,2.772588722,0.693147181,9.167745974,6.135564891,0,0,3.499999994,1.504077395
0,2.397895273,0.687183982,4.782174602,2.397895273,5.976350909,0.310154929,9.165238398,6.133398043,0,0,6.000000092,1.945910162
0,0.693147181,0.692328682,4.382026635,1.386294361,4.127134385,0.693147181,9.158309964,6.098074282,0,0,10.49999997,2.442347033
0,0,0,4.276666119,1.386294361,0.693147181,0.693147181,9.147613542,6.089044875,0,0,9.499999972,2.351375254
0,1.098612289,0.216536308,5.93312897,2.302585093,4.007333185,0.287682072,9.147507063,6.086774727,0,0,59.00000004,4.094344563
0,0,0,4.276666119,1.386294361,4.787491743,0.693147181,8.852664928,5.950642553,0,0,16.49999999,2.86220088
0,0,0,4.094344562,1.386294361,3.63758616,0.693147181,8.770439087,5.92157842,0,0,0.500000014,0.405465117
0,0,0,4.110873864,1.386294361,1.386294361,0.693147181,8.736007385,5.869296913,0,0,1.99999998,1.098612282
0,0.693147181,0.580609071,3.850147602,1.386294361,1.098612289,0.405465108,8.727778213,5.866468057,1,0.055555556,16.99999998,2.890371757
