ns,nf,entropy,lt,ndev,pd,npt,exp,sexp,bug,bugdensity,churn,churnp
2.302585093,6.542471961,0.693012504,5.65410575,3.044522438,11.16629986,0.17895374,7.380255788,7.374629015,0,0,1380.000026,7.230563172
2.302585093,6.626717749,0.692907375,5.668500661,3.044522438,11.59230026,0.251608719,10.15902085,10.14866653,0,0,1495.999954,7.311218354
0,0,0,5.459585514,1.098612289,0,0.693147181,9.48425308,6.23636959,1,0.133333332,6.500000052,2.014903027
0.693147181,2.079441542,0.62146543,0,2.079441542,7.115582126,0.405465108,6.8134446,4.682131227,0,0,6,1.945910149
0,0,0,0,1.386294361,5.700443573,0.693147181,8.532475815,6.150602768,0,0,0,0
0,1.791759469,0.693147181,0,1.609437912,5.65248918,0.287682072,8.518592212,5.988961417,0,0,6,1.945910149
0,0,0,5.424950017,2.079441542,4.204692619,0.693147181,7.132497552,5.480638923,0,0,3.99999999,1.60943791
0,0,0,5.774551546,1.791759469,3.988984047,0.693147181,9.839162342,6.675823222,1,0.249999998,3.000000035,1.38629437
0.693147181,2.772588722,0.645689449,6.313661265,2.48490665,6.376726948,0.559615788,9.572689189,9.435721418,0,0,80.99999797,4.406719222
1.609437912,3.135494216,0.648477742,6.370496398,2.708050201,6.785587645,0.448024722,9.545239944,9.514363204,1,0.004474273,222.5000011,5.409411419
0,0,0,4.430816799,1.098612289,4.584967479,0.693147181,9.52580783,5.402677382,1,0.499999995,1.000000019,0.69314719
0,0.693147181,0.651437205,6.640529215,1.791759469,4.465908119,0.693147181,9.138307169,8.678120856,0,0,10.50000002,2.442347037
0.693147181,0.693147181,0.622252807,6.868494565,1.609437912,3.33220451,0.693147181,8.062747901,7.013915475,1,0.125000014,6.999999135,2.079441434
0.693147181,1.609437912,0.307357542,6.626187808,2.397895273,1.791759469,0.182321557,9.396736948,9.276128113,0,0,172.5000008,5.156177604
0,0,0,6.841615476,2.302585093,0,0.693147181,9.545740606,9.067739403,0,0,1.999999595,1.098612154
1.098612289,1.609437912,0.657723298,5.288267031,1.609437912,6.723832441,0.587786665,8.58541243,8.155936338,1,0.068965516,13.50000024,2.674148666
1.098612289,2.197224577,0.521082683,6.085511303,2.302585093,6.851184927,0.635988767,6.431331082,6.013715156,1,0.010928962,90.50000065,4.516338979
0,0,0,1.609437912,1.791759469,0.693147181,0.693147181,9.554497291,8.190354404,0,0,2,1.098612289
1.098612289,1.386294361,0.32516719,6.021023349,1.791759469,5.966146739,0.693147181,7.033506484,6.767343125,0,0,85.50000038,4.460144418
0,0.693147181,0.033985703,8.661033761,1.386294361,2.708050201,0.693147181,8.422882512,8.017966703,0,0,1104.999999,7.008505181
2.302585093,6.21860012,0.693085589,6.039908417,2.772588722,10.80196049,0.239738164,6.293419279,6.293419279,0,0,502.9999281,6.222576125
0,0,0,5.463831805,2.197224577,0,0.693147181,7.29301768,5.648974238,0,0,1.499999948,0.916290711
1.098612289,2.079441542,0.614662051,6.037572546,2.397895273,2.833213344,0.117783036,6.234410726,6.159095388,0,0,38.99999962,3.688879445
1.098612289,2.079441542,0.614662051,6.037572546,2.397895273,6.100318952,0.693147181,6.216606101,6.139884552,0,0,38.99999962,3.688879445
0,0,0,5.575949103,1.098612289,0.693147181,0.693147181,10.34557384,7.215239979,0,0,12.99999992,2.639057324
2.302585093,6.897704943,0.693139272,5.873027889,3.36729583,12.05198863,0.205617119,10.52610497,10.52325726,0,0,1980.999883,7.591861656
1.386294361,2.397895273,0.662772757,6.894577929,3.17805383,7.65396918,0.435318071,10.31820968,10.21045741,0,0,44.99999899,3.828641374
0.693147181,1.098612289,0.171452313,6.69125627,2.944438979,3.135494216,0.693147181,8.000014094,6.333279628,1,0.010526316,94.00000034,4.553876895
0,1.098612289,0.265606079,6.298949247,2.397895273,5.913503006,0.693147181,10.2868093,7.261927093,0,0,49.99999983,3.931825629
0,0,0,7.749322465,2.833213344,2.197224577,0.693147181,10.28554755,9.827470066,0,0,35.00000029,3.583518946
0,0,0,4.248495242,1.386294361,6.608000625,0.693147181,10.2570627,5.056245805,0,0,9.500000006,2.351375258
1.098612289,1.098612289,0.226950406,5.30661617,2.302585093,3.33220451,0.693147181,6.098074282,5.631211782,0,0,43.49999988,3.795489186
0.693147181,0.693147181,0.630566471,7.530211719,2.564949357,5.272999559,0.693147181,10.23588005,10.07487454,0,0,23.50000063,3.198673143
0.693147181,1.098612289,0.642850454,5.522793363,2.772588722,5.81711116,0.510825624,10.47725981,9.354440716,0,0,20.50000029,3.068052948
0,0,0,5.996452089,2.079441542,3.135494216,0.693147181,10.23394172,7.093404626,0,0,1.999999931,1.098612266
2.302585093,6.866933284,0.693138988,5.848637103,3.258096538,12.07059651,0.251892964,10.47675262,10.4737889,0,0,1920.999877,7.561121525
1.945910149,3.465735903,0.667449995,6.682108597,3.091042453,8.348301055,0.577315365,7.867488569,7.849323818,0,0,80.99998989,4.406719124
1.098612289,1.098612289,0.224933507,5.517452896,1.945910149,3.218875825,0.510825624,6.025865974,5.375278408,0,0,31.99999986,3.496507557
0,0,0,6.601230119,1.945910149,2.48490665,0.693147181,6.008813185,4.477336814,0,0,9.99999987,2.397895261
0,0,0,7.060476366,2.397895273,3.091042453,0.693147181,7.843456404,7.089243155,0,0,21.00000045,3.091042474
0,0,0,6.11146734,2.302585093,5.713732806,0.693147181,7.835579247,6.033086222,0,0,3.00000015,1.386294399
0.693147181,1.791759469,0.679029451,6.865717268,2.772588722,6.309918278,0.693147181,7.825644732,7.083387848,0,0,12.50000086,2.602689749
0.693147181,1.098612289,0.559883917,5.844510134,2.564949357,4.454347296,0.693147181,10.16681289,10.00351387,0,0,67.99999963,4.234106499
1.386294361,3.295836866,0.622124757,6.458164113,3.044522438,7.049254841,0.393042588,10.16565949,10.10577512,1,0.003220612,309.5000049,5.738183917
0,0,0,4.844187086,1.386294361,5.087596335,0.693147181,10.11261331,6.914730893,0,0,8.500000005,2.251291799
0,0,0,6.612041035,1.945910149,0,0.693147181,10.10748906,6.371611847,0,0,3.99999994,1.6094379
0,0,0,6.109247583,2.302585093,4.787491743,0.693147181,10.05259698,8.536014946,0,0,6.9999998,2.079441517
1.098612289,3.401197382,0.532491982,6.52532287,2.944438979,7.093404626,0.427444015,10.04102964,9.927497005,1,0.000883783,1130.500004,7.031299468
0,0.693147181,0.693147181,4.852030264,1.386294361,0,0.405465108,3.713572067,1.945910149,1,0.01369863,72.00000002,4.290459441
0,1.098612289,0.27575168,4.727387819,1.945910149,4.779123493,0.693147181,3.610917913,2.708050201,1,0.100000001,8.999999904,2.302585083
0,0,0,4.219507705,2.079441542,3.871201011,0.693147181,10.3955584,9.743201423,0,0,15.99999999,2.833213343
0.693147181,0.693147181,0.693147181,7.138470096,2.708050201,0,0.693147181,10.39157665,9.764110536,0,0,3.999998781,1.609437669
2.302585093,6.722629795,0.693041471,5.781986967,3.17805383,11.7115058,0.191107556,10.38788706,10.38464747,0,0,1655.999914,7.412763965
0.693147181,0.693147181,0.399606206,6.790659507,2.48490665,4.33073334,0.693147181,10.36173485,10.1049988,0,0,13.99999943,2.708050163
0.693147181,3.091042453,0.58257088,7.005294377,2.890371758,7.087573706,0.435318071,7.715569535,7.257002707,1,0.003717472,268.0000073,5.594711407
1.098612289,1.098612289,0.44001916,6.342708101,1.791759469,5.634789603,0.693147181,9.970959268,9.816730689,0,0,45.00000006,3.828641398
0,0,0,5.313205979,1.609437912,0.693147181,0.693147181,9.970725552,8.451267041,0,0,1.99999998,1.098612282
0,2.079441542,0.520615158,5.504823277,1.945910149,5.926926026,0.485507816,6.936342736,6.93439721,1,0.007751938,128.0000002,4.859812406
0,0,0,7.636752112,2.564949357,3.931825633,0.693147181,10.33922318,7.776535028,1,0.004545455,218.9999996,5.393627545
0,0,0,7.646353722,2.564949357,2.397895273,0.693147181,7.674617497,6.908754779,0,0,3.999999186,1.60943775
0,0,0,6.396929655,2.197224577,1.791759469,0.693147181,10.3125462,7.765569081,0,0,1.499999927,0.916290702
0.693147181,1.098612289,0.2247455,6.207247744,2.397895273,4.983606622,0.510825624,10.30360505,10.05556466,1,0.011235955,88.00000016,4.488636372
2.397895273,6.677083461,0.692949499,5.734823797,3.135494216,11.61406408,0.227667308,10.30333692,10.30145798,0,0,1575.999927,7.363279541
0,0,0,0,1.386294361,4.727387819,0.693147181,10.27180447,4.418840608,0,0,1,0.693147181
0,0,0,5.777652323,2.397895273,3.433987204,0.693147181,10.27176987,8.893160829,0,0,9.499999971,2.351375254
0.693147181,0.693147181,0.543444648,6.056784013,2.197224577,4.912654886,0.693147181,9.864018809,9.710145492,0,0,4.999999914,1.791759455
1.609437912,2.890371758,0.581173685,5.940025043,2.890371758,7.638679824,0.441832753,10.27045435,10.20129321,0,0,67.49999869,4.226833726
1.098612289,2.708050201,0.602032467,4.862908382,2.397895273,8.766861822,0.382992252,10.26979595,10.03552408,0,0,36.99999984,3.637586155
0,0,0,5.308267697,1.609437912,0,0.693147181,10.26733174,8.88930832,0,0,3.500000036,1.504077405
0.693147181,1.098612289,0.51337815,5.202173506,2.397895273,6.333279628,0.693147181,9.848027695,8.452121195,0,0,19.00000025,2.995732286
0.693147181,2.079441542,0.529382742,6.569130728,2.63905733,0,0.117783036,10.21891854,7.728855824,0,0,109.5000015,4.705015535
0.693147181,2.079441542,0.49942422,6.552686188,2.63905733,0,0.117783036,10.21862671,7.725330038,1,0.009756098,101.5000002,4.6298628
0.693147181,2.079441542,0.529382742,6.569130728,2.63905733,6.562444094,0.693147181,10.21833479,7.721791777,0,0,109.5000015,4.705015535
0.693147181,3.828641396,0.630557172,5.983388546,2.63905733,8.046229101,0.448024722,9.80642584,9.654192512,1,0.003220612,309.5000064,5.738183922
1.098612289,1.098612289,0.464025955,5.802118375,2.48490665,5.087596335,0.693147181,9.796125034,9.649498121,1,0.003780718,263.5000003,5.577841253
1.098612289,2.302585093,0.444272418,6.022236206,2.564949357,6.363028104,0.587786665,6.770789424,6.486160789,0,0,158.5000001,5.072043923
1.098612289,1.791759469,0.64432436,7.003822747,2.63905733,6.251903883,0.693147181,10.20459165,10.06254048,1,0.020833334,46.99999829,3.871200975
0.693147181,1.098612289,0.598533363,7.531909588,2.63905733,5.293304825,0.693147181,10.20036472,9.963782708,0,0,15.99999838,2.833213249
1.386294361,1.791759469,0.622324094,6.896188643,2.564949357,5.620400866,0.693147181,9.681655641,9.569831347,0,0,36.50000265,3.624341004
1.098612289,1.386294361,0.666813018,6.548577205,2.197224577,4.077537444,0.559615788,10.19623179,9.091444217,0,0,32.00000009,3.496507564
