ns,nm,nf,entropy,la,ld,lt,fix,ndev,pd,npt,exp,rexp,sexp,bug
1,1,1,0,0,0,406,1,1,0,1,1,1,1,1
1,1,3,0,0,0,79.33333333,1,1,0,0.333333333,6,6,6,1
1,1,2,0,0,0,48.5,1,1,0,0.5,6,6,6,0
1,1,3,0,0,0,44.66666667,1,1,0,0.333333333,9,9,9,1
1,1,5,0,0,0,83,1,1,0,0.2,14,14,14,1
1,1,1,0,0.042553191,0.085106383,47,1,1,0,1,15,15,15,0
1,1,1,0,0.028985507,0.002415459,414,0,1,0,1,16,16,16,1
1,1,1,0,0.147435897,0.147435897,156,1,1,1,1,17,17,17,1
1,1,1,0,0.006410256,0.006410256,156,0,1,0,1,18,18,18,0
1,1,1,0,0.006493506,0.006493506,154,0,1,1,1,19,19,19,0
1,1,4,0.45960672,0.054862843,0.057356608,200.5,1,1,3,1,23,23,23,0
1,1,1,0,0,0.02173913,46,0,1,2,1,24,24,24,0
1,1,1,0,0.010309278,0.010309278,194,1,1,1,1,25,25,25,0
1,1,3,0.787120357,0.005093379,0.049235993,196.3333333,0,1,3,0.333333333,28,28,28,0
1,1,1,0,0.043478261,0.035805627,391,1,1,3,1,29,29,29,0
1,1,1,0,0.006410256,0.006410256,156,1,1,4,1,30,30,30,0
1,1,1,0,0,0,51,0,1,0,1,31,31,31,0
1,1,3,0,0.018604651,0.004651163,71.66666667,0,1,4,0.666666667,34,34,34,0
1,1,1,0,0.002557545,0.002557545,391,1,1,1,1,35,35,35,0
1,1,1,0,0.365853659,0.024390244,41,0,1,0,1,36,36,36,0
1,1,1,0,0.006410256,0.006410256,156,1,1,1,1,37,37,37,0
1,1,3,0.829243901,0.036697248,0.02293578,72.66666667,1,1,15,1,40,40,40,0
1,1,2,0.811278124,0.010889292,0.003629764,275.5,1,1,1,1,42,42,42,0
1,1,1,0,0.015306122,0.005102041,196,1,1,7,1,43,43,43,0
1,1,20,0.734560032,0.553303965,0.514096916,113.5,0,1,236,0.6,63,63,63,1
1,1,1,0,0.003533569,0.003533569,283,0,1,0,1,64,64,64,1
1,1,1,0,0.005050505,0.005050505,198,1,1,1,1,65,65,65,0
1,1,1,0,0.003533569,0.003533569,283,1,1,1,1,66,66,66,1
1,1,3,0.965633607,0.010043042,0.00286944,232.3333333,0,1,11,0.666666667,69,69,69,0
1,1,1,0,0.003521127,0.003521127,284,0,1,0,1,70,70,70,0
1,1,1,0,0.022556391,0.007518797,133,0,1,0,1,71,71,71,0
1,1,1,0,0.103448276,0,58,0,1,4,1,72,72,72,1
1,1,1,0,0.003521127,0.003521127,284,0,1,0,1,73,73,73,0
1,1,1,0,0.003521127,0.003521127,284,0,1,0,1,74,74,74,0
1,1,1,0,0.020979021,0,286,0,1,0,1,75,75,75,1
1,1,1,0,0.005780347,0,173,1,1,6,1,76,76,76,0
1,1,1,0,0.009975062,0.009975062,401,1,1,9,1,77,77,77,0
1,1,1,0,0.058823529,0.024509804,408,0,1,5,1,78,78,78,1
1,1,3,0,0.004310345,0,77.33333333,0,1,14,0.666666667,81,81,81,1
1,1,2,1,0.031982942,0.002132196,234.5,1,1,32,1,83,83,83,1
1,1,1,0,0.031468531,0.013986014,286,1,1,24,1,84,84,84,0
1,1,1,0,0,0.068181818,44,0,1,28,1,85,85,85,0
1,1,3,0,0.029411765,0,45.33333333,0,1,120,0.666666667,88,88,88,0
1,1,1,0,0,0.011428571,175,0,1,15,1,89,89,89,0
1,1,2,0,0.0025,0,200,1,2,4,1,2,2,2,1
1,1,1,0,0.004464286,0.004464286,224,0,1,0,1,3,3,3,0
1,1,1,0,0,0,66,1,1,0,1,90,90,90,1
1,1,1,0,0.088235294,0.044117647,68,0,1,0,1,91,91,91,0
1,1,1,0,0.005681818,0.005681818,176,1,2,3,1,4,4,4,1
1,1,1,0,0,0,51,0,1,0,1,6,6,6,1
1,1,1,0,0.493865031,0.036809816,326,1,1,8,1,5,5,5,1
1,1,1,0,0.078431373,0.098039216,51,0,1,1,1,8,8,8,1
1,1,1,0,0.089855072,0.026086957,345,1,1,1,1,7,7,7,1
1,1,1,0,0.00867052,0.002890173,346,1,1,0,1,9,9,9,0
1,1,1,0,0.010416667,0,288,1,1,27,1,92,92,92,1
1,1,2,0.918295834,0.0175,0.005,200,1,2,26,1,94,94,94,1
1,1,3,0.839600875,0.190789474,0.11622807,304,0,2,75,1,3,3,3,0
1,1,2,0.994030211,0.231578947,0.231578947,47.5,0,2,130,1,6,6,6,0
1,1,1,0,0,0,0,0,1,0,1,6,6,6,0
1,1,1,0,2.070175439,0,57,0,1,0,1,9,9,9,0
1,1,2,1,0.064516129,0.064516129,31,0,2,70,1,9,9,9,0
1,1,1,0,0,0,0,0,1,0,1,15,15,15,0
1,1,5,0.852959238,0.400337838,0.224662162,118.4,0,2,158,0.8,15,15,15,0
1,1,1,0,0.777777778,0.333333333,81,0,2,74,1,16,16,16,0
1,1,1,0,0,0,0,1,1,0,1,17,17,17,0
1,1,1,0,0,0,0,0,1,0,1,22,22,22,0
1,1,2,0.896434996,1.325925926,0,135,0,1,0,0.5,22,22,22,0
1,1,2,0.927338928,0.322147651,0.157718121,149,0,2,132,1,22,22,22,0
1,1,1,0,0.403314917,0.38121547,181,0,3,23,1,24,24,24,0
1,1,1,0,0,0,0,1,1,0,1,24,24,24,0
1,1,1,0,1.413934426,0,244,0,1,0,1,26,26,26,0
1,1,1,0,0,0,0,0,1,0,1,26,26,26,0
1,1,2,0.998181915,1.608695652,0,80.5,0,1,0,0.5,29,29,29,0
1,1,1,0,0,0,0,0,1,0,1,29,29,29,0
1,1,6,0.880348582,0.150980392,0.094117647,85,0,3,306,0.833333333,35,35,35,0
1,1,17,0.76601784,0.122364803,0.108615949,128.3529412,1,3,812,0.588235294,111,111,111,1
1,1,1,0,0.04368932,0.029126214,206,0,2,2,1,112,112,112,1
1,1,17,0.765512607,0.112656467,0.127955494,126.8823529,1,3,66,0.117647059,129,129,129,1
1,1,1,0,0.002873563,0.002873563,348,1,3,1,1,130,130,130,0
1,1,2,0.988699408,0.019067797,0.014830508,236,0,2,71,1,132,132,132,1
1,1,1,0,0.005681818,0.005681818,176,1,3,13,1,133,133,133,0
1,1,1,0,0.02970297,0,202,0,2,19,1,134,134,134,0
1,1,1,0,0.012195122,0.004878049,410,1,2,20,1,135,135,135,0
1,1,1,0,0.002439024,0.002439024,410,1,2,5,1,136,136,136,0
1,1,16,0.838065176,0.643862392,0.422986708,159.875,0,3,969,0.6875,51,51,51,0
1,1,15,0.594695377,0.761747733,0.596042869,80.86666667,0,3,861,0.533333333,66,66,66,0
1,1,1,0,0.002439024,0.002439024,410,1,2,1,1,137,137,137,0
1,1,2,0.99107606,0.011844332,0.003384095,295.5,0,3,73,1,139,139,139,1
1,1,2,0.811278124,0.013157895,0.007894737,190,1,2,93,1,141,141,141,0
1,1,2,0.764204507,0.021563342,0.002695418,185.5,0,3,43,1,143,143,143,0
1,1,2,0.993170925,0.200294551,0.011782032,339.5,0,3,6,1,145,145,145,1
1,1,1,0,0.004291845,0.004291845,233,0,3,1,1,146,146,146,0
1,1,2,0.918295834,0.004405286,0,340.5,0,3,1,1,148,148,148,0
1,1,1,0,0.008928571,0.006696429,448,0,2,0,1,149,149,149,0
1,1,1,0,0.006666667,0,450,0,2,6,1,150,150,150,0
1,1,1,0,0.014705882,0.014705882,68,1,1,99,1,151,151,151,0
1,1,1,0,0.057142857,0.014285714,70,0,1,0,1,152,152,152,0
1,1,16,0.681955816,0.120644436,0.062570251,166.8125,0,3,1431,0.6875,82,82,82,0
1,1,1,0,0.153846154,0,13,0,2,154,1,83,83,83,0
1,1,1,0,0.211764706,0.176470588,85,0,2,154,1,85,85,85,0
1,1,1,0,0.22265625,0.04296875,256,0,2,134,1,85,85,85,0
1,1,1,0,0.320954907,0.214854111,377,0,3,101,1,86,86,86,0
1,1,1,0,0.08,0,25,0,2,147,1,88,88,88,0
1,1,1,0,0.005714286,0,350,0,3,92,1,88,88,88,0
1,1,1,0,0.033898305,0,59,0,2,149,1,90,90,90,0
1,1,1,0,0.045454545,0,44,0,2,154,1,90,90,90,0
1,1,1,0,0.363636364,0.136363636,22,0,2,154,1,91,91,91,0
1,1,1,0,0.071428571,0,28,0,2,0,1,92,92,92,0
1,1,1,0,0.028169014,0.014084507,71,0,1,1,1,153,153,153,1
1,1,11,0.847998396,0.130317717,0.015078083,168.8181818,0,3,601,0.636363636,164,164,164,1
1,1,1,0,0.004739336,0.004739336,211,1,2,0,1,165,165,165,0
1,1,1,0,0.010928962,0.010928962,183,0,2,12,1,166,166,166,0
1,1,1,0,0.004210526,0.002105263,475,1,2,0,1,167,167,167,0
1,1,1,0,0.17721519,0.012658228,79,1,1,1,1,168,168,168,0
1,1,1,0,0.006779661,0.006779661,295,0,2,2,1,169,169,169,1
1,1,1,0,0.019830028,0,353,0,3,73,1,170,170,170,1
