commit,benefit,cost
1,0,0
2,1,514.375
3,0,0
4,0,0
5,0,0
6,2,403.4848485
7,0,0
8,3,256.2539683
9,0,0
10,4,466.3333333
11,0,0
12,5,379.4545455
13,6,244.7894737
14,7,39
15,0,0
16,8,875
17,0,0
18,9,781
19,0,0
20,10,575
21,11,582
22,12,556
23,13,405
24,0,0
25,14,359.9444444
26,15,418.9333333
27,16,349.1
28,0,0
29,17,625.2222222
30,0,0
31,18,494.5833333
32,0,0
33,0,0
34,19,541
35,20,0
36,21,291
37,22,273
38,0,0
39,23,180.6666667
40,24,265
41,0,0
42,0,0
43,25,253
44,26,240
45,27,267.3333333
46,28,204
47,0,0
48,0,0
49,29,521.5714286
50,30,240
51,0,0
52,31,222
53,32,713
54,0,0
55,0,0
56,33,615.5
57,0,0
58,34,492
59,0,0
60,35,389.5
61,36,574
62,0,0
63,37,572
64,0,0
65,0,0
66,38,648
67,39,771.5
68,40,744
69,41,881
70,0,0
71,42,842
72,0,0
73,0,0
74,0,0
75,0,0
76,43,855
77,44,850
78,45,846
79,0,0
80,0,0
81,46,827
82,47,825
83,0,0
84,48,800
85,0,0
86,49,766
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,50,722
93,51,721
94,0,0
95,0,0
96,0,0
97,52,631
98,53,631
99,0,0
100,0,0
101,54,628
102,55,626
103,56,622
104,57,620
105,0,0
106,0,0
107,0,0
108,58,419
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,59,374
115,0,0
116,0,0
117,60,295
118,61,286
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,62,324.2727273
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,63,544.3043478
131,64,555
132,0,0
133,0,0
134,0,0
135,65,690.5
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,66,631
145,0,0
146,67,641
147,0,0
148,0,0
149,68,455.8
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,69,653
156,70,726.5714286
157,71,486.875
158,0,0
159,0,0
160,0,0
161,72,236
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,73,185.5
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,74,36
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,75,11
182,0,0
183,0,0
184,0,0
185,0,0
186,76,348
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,77,260.8367347
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,78,643.5
202,0,0
203,0,0
204,0,0
205,0,0
206,79,306.2857143
207,0,0
208,0,0
209,0,0
210,0,0
211,80,759
212,0,0
213,81,572.6666667
214,82,754
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,83,661
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,84,443
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,85,669
240,0,0
241,0,0
242,0,0
243,86,485.75
244,0,0
245,0,0
246,87,557.6666667
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,88,70
254,0,0
255,0,0
256,89,0
257,0,0
258,0,0
259,0,0
260,0,0
261,0,0
262,0,0
263,0,0
264,90,182
265,0,0
266,91,433
267,0,0
268,0,0
269,92,408
270,0,0
271,0,0
272,0,0
273,0,0
274,0,0
275,0,0
276,0,0
277,0,0
278,0,0
279,0,0
280,0,0
281,0,0
282,0,0
283,0,0
284,0,0
285,0,0
286,0,0
287,0,0
288,93,371
289,0,0
290,0,0
291,0,0
292,0,0
293,0,0
294,0,0
295,0,0
296,0,0
297,0,0
298,94,0
299,0,0
300,0,0
301,0,0
302,0,0
303,0,0
304,0,0
305,0,0
306,0,0
307,0,0
308,95,721.2857143
309,0,0
310,0,0
311,96,200
312,0,0
313,0,0
314,0,0
315,0,0
316,97,173
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,98,572
328,0,0
329,0,0
330,0,0
331,0,0
332,99,323
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,100,503
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,101,452
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,0,0
353,0,0
354,102,416
355,0,0
356,103,403
357,104,384
358,105,382
359,0,0
360,0,0
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0,0
369,0,0
370,0,0
371,0,0
372,0,0
373,106,846
374,0,0
375,0,0
376,0,0
377,0,0
378,107,1084
379,0,0
380,0,0
381,108,1078
382,0,0
383,109,1060
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,110,1003
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
