commitdate,ns,nm,nf,entropy,la,ld,lt,fix,ndev,pd,npt,exp,rexp,sexp,bug
25/11/2002 7:05,1,1,4,0,0,0,19,0,1,0,0.25,4,4,4,1
25/11/2002 7:06,1,1,7,0,0,0,70.14285714,0,1,0,0.142857143,39,39,39,1
25/11/2002 7:06,1,1,4,0,0,0,104.5,0,1,0,0.25,39,39,39,1
25/11/2002 7:06,1,2,14,0,0,0,72.71428571,0,1,0,0.071428571,165,165,165,1
25/11/2002 7:06,1,2,29,0,0,0,68.89655172,0,1,0,0.034482759,150,150,150,1
25/11/2002 7:06,1,3,11,0,0,0,74.72727273,0,1,0,0.090909091,75,75,75,1
25/11/2002 7:06,1,2,16,0,0,0,117.3125,0,1,0,0.0625,62,62,62,1
25/11/2002 7:06,1,1,3,0,0,0,130,0,1,0,0.333333333,45,45,45,1
25/11/2002 7:06,1,2,7,0,0,0,97.71428571,0,1,0,0.142857143,150,150,150,1
25/11/2002 7:06,1,2,14,0,0,0,43.5,0,1,0,0.071428571,114,114,114,1
25/11/2002 7:06,1,1,7,0,0,0,80.57142857,0,1,0,0.142857143,114,114,114,1
25/11/2002 7:06,1,1,3,0,0,0,92.66666667,0,1,0,0.333333333,93,93,93,1
25/11/2002 7:06,1,1,2,0,0,0,108.5,0,1,0,0.5,93,93,93,1
25/11/2002 7:06,1,1,3,0,0,0,46.33333333,0,1,0,0.333333333,88,88,88,1
25/11/2002 7:06,1,1,10,0,0,0,286.3,0,1,0,0.1,88,88,88,1
25/11/2002 7:06,1,1,1,0,0,0,207,0,1,0,1,165,165,165,1
25/11/2002 7:06,1,1,3,0,0,0,44.66666667,0,1,0,0.333333333,45,45,45,1
25/11/2002 7:06,1,1,4,0,0,0,279.25,0,1,0,0.25,18,18,18,1
25/11/2002 7:06,1,1,2,0,0,0,38.5,0,1,0,0.5,18,18,18,1
25/11/2002 7:06,1,1,4,0,0,0,130.25,0,1,0,0.25,8,8,8,1
25/11/2002 7:06,1,1,4,0,0,0,62.5,0,1,0,0.25,12,12,12,1
25/11/2002 7:06,1,2,8,0,0,0,104,0,1,0,0.125,26,26,26,1
25/11/2002 7:06,1,2,2,0,0,0,153,0,1,0,0.5,28,28,28,1
25/11/2002 7:06,1,1,1,0,0,0,36,0,1,0,1,62,62,62,1
25/11/2002 7:06,1,1,2,0,0,0,90.5,0,1,0,0.5,75,75,75,1
25/11/2002 7:07,1,4,7,0,0,0,51,0,1,0,0.142857143,496,496,496,1
25/11/2002 7:07,1,1,8,0,0,0,82.875,0,1,0,0.125,370,370,370,1
25/11/2002 7:07,1,4,6,0,0,0,93.83333333,0,1,0,0.166666667,635,635,635,1
25/11/2002 7:07,1,2,4,0,0,0,146.5,0,1,0,0.25,362,362,362,1
25/11/2002 7:07,1,1,5,0,0,0,106.2,0,1,0,0.2,375,375,375,1
25/11/2002 7:07,1,3,8,0,0,0,52,0,1,0,0.125,386,386,386,1
25/11/2002 7:07,1,3,5,0,0,0,156.4,0,1,0,0.2,587,587,587,1
25/11/2002 7:07,1,3,20,0,0,0,61.8,0,1,0,0.05,445,445,445,1
25/11/2002 7:07,1,3,8,0,0,0,78.625,0,1,0,0.125,565,565,565,1
25/11/2002 7:07,1,1,2,0,0,0,21.5,0,1,0,0.5,287,287,287,0
25/11/2002 7:07,1,2,4,0,0,0,29.5,0,1,0,0.25,543,543,543,1
25/11/2002 7:07,1,2,4,0,0,0,50.75,0,1,0,0.25,287,287,287,1
25/11/2002 7:07,1,1,1,0,0,0,31,0,1,0,1,591,591,591,1
25/11/2002 7:07,1,5,31,0,0,0,56.19354839,0,1,0,0.032258065,357,357,357,1
25/11/2002 7:07,1,5,8,0,0,0,86.125,0,1,0,0.125,587,587,587,1
25/11/2002 7:07,1,1,3,0,0,0,114.3333333,0,1,0,0.333333333,591,591,591,1
25/11/2002 7:07,1,6,9,0,0,0,132.5555556,0,1,0,0.111111111,629,629,629,1
25/11/2002 7:07,1,2,4,0,0,0,112.5,0,1,0,0.25,535,535,535,1
25/11/2002 7:07,1,5,10,0,0,0,101.3,0,1,0,0.1,535,535,535,1
25/11/2002 7:07,1,1,1,0,0,0,74,0,1,0,1,646,646,646,1
25/11/2002 7:07,1,1,22,0,0,0,63.59090909,0,1,0,0.045454545,310,310,310,1
25/11/2002 7:07,1,1,1,0,0,0,91,0,1,0,1,310,310,310,0
25/11/2002 7:07,1,1,7,0,0,0,97.14285714,0,1,0,0.142857143,574,574,574,1
25/11/2002 7:07,1,3,12,0,0,0,43.25,0,1,0,0.083333333,216,216,216,1
25/11/2002 7:07,1,3,16,0,0,0,56.25,0,1,0,0.0625,261,261,261,1
25/11/2002 7:07,1,2,23,0,0,0,56.26086957,0,1,0,0.043478261,240,240,240,1
25/11/2002 7:07,1,2,5,0,0,0,60,0,1,0,0.2,599,599,599,1
25/11/2002 7:07,1,2,4,0,0,0,118.25,0,1,0,0.25,216,216,216,1
25/11/2002 7:07,1,2,7,0,0,0,28.14285714,0,1,0,0.142857143,620,620,620,1
25/11/2002 7:07,1,1,12,0,0,0,127.4166667,0,1,0,0.083333333,200,200,200,1
25/11/2002 7:07,1,3,12,0,0,0,63.08333333,0,1,0,0.083333333,485,485,485,1
25/11/2002 7:07,1,4,5,0,0,0,181.6,0,1,0,0.2,521,521,521,1
25/11/2002 7:07,1,2,2,0,0,0,124,0,1,0,0.5,644,644,644,0
25/11/2002 7:07,1,2,4,0,0,0,43.25,0,1,0,0.25,565,565,565,1
25/11/2002 7:07,1,1,1,0,0,0,18,0,1,0,1,553,553,553,0
25/11/2002 7:07,1,2,9,0,0,0,54.22222222,0,1,0,0.111111111,553,553,553,1
25/11/2002 7:07,1,1,3,0,0,0,49.66666667,0,1,0,0.333333333,599,599,599,1
25/11/2002 7:07,1,2,19,0,0,0,81.68421053,0,1,0,0.052631579,445,445,445,1
25/11/2002 7:07,1,2,9,0,0,0,137.2222222,0,1,0,0.111111111,406,406,406,1
25/11/2002 7:07,1,3,11,0,0,0,57,0,1,0,0.090909091,406,406,406,1
25/11/2002 7:07,1,1,1,0,0,0,293,0,1,0,1,638,638,638,1
25/11/2002 7:07,1,3,3,0,0,0,278.3333333,0,1,0,0.333333333,386,386,386,1
25/11/2002 7:07,1,2,2,0,0,0,44,0,1,0,0.5,638,638,638,1
25/11/2002 7:07,1,2,7,0,0,0,61.14285714,0,1,0,0.142857143,485,485,485,1
25/11/2002 7:07,1,2,4,0,0,0,77,0,1,0,0.25,543,543,543,1
25/11/2002 7:07,1,1,1,0,0,0,1100,0,1,0,1,240,240,240,1
25/11/2002 7:07,1,3,4,0,0,0,114,0,1,0,0.25,644,644,644,1
25/11/2002 7:07,1,1,14,0,0,0,68.57142857,0,1,0,0.071428571,466,466,466,1
25/11/2002 7:07,1,2,5,0,0,0,239,0,1,0,0.2,261,261,261,1
25/11/2002 7:07,1,1,2,0,0,0,286,0,1,0,0.5,602,602,602,1
