bugzilla,columba,jdt,mozilla,platform,postgres
3617.60885,600.2051519,4313.827465,3008.064779,1342.662272,1490.831827
3549.234276,622.2016435,2004.141667,4423,1107.97214,499.8555556
3573.22616,674.0077484,5595.166667,4572.205159,408.3333333,718.3642857
3530.597754,625.1427101,1720.3,3281.528218,512.6666667,32.11111111
3508.998784,588.7757746,2794.256747,1939.883333,520.1345238,676.9583333
3547.482936,608.335389,2454.25,425.45,1066.333333,276.3333333
3552.765916,605.1419866,3413.000794,1794.138961,1595.326786,858.5595238
3555.262863,601.2409918,1350.670238,1025.27929,794.1738095,869.65
3560.8679,619.5969065,1651.291667,825.1388889,916.1,382.7833333
3546.053802,657.199103,2017,4760.1,516.5833333,712.2190476
3556.281079,675.686075,1469,1340.555556,432.2469697,799.075
3556.799601,700.9012257,3833.833333,5847.491667,1264.583333,442.6666667
3583.183483,703.8224523,4521.083334,9086.5,700.6916667,469.8333333
3555.760401,704.2495887,2754.5,3501.815915,727.2666667,765.902381
3553.744117,701.2110238,2760.375,2094.389151,286.0952381,302.1190476
3541.97991,704.805664,2738.326689,4030.541667,762.8229167,80.75
3551.236306,701.0723073,1437.752381,1545.89011,620.1666667,1062.708333
3554.601366,705.1359631,1499.291667,1301.432143,838.5416667,444.7857143
3556.196324,704.2027809,1396.706349,3785.107143,510.8333333,767.0666667
3547.626767,703.8142461,3676.333333,2814.777778,663.95,1004.557143
3569.30477,702.3817656,2222.985714,1386.616667,1148.507029,1096.666667
3564.593092,715.3946857,1122.05873,2128.913195,816.9166667,199.5
3561.517493,706.7126763,2227.5,4232.080829,953.947619,514.5
3556.958016,703.738615,419.2857143,1855.216667,888.7,245.4583333
3558.391846,703.531796,1270.633333,5554.106046,246.5,282.2904762
3552.036471,711.8375153,706.1166667,1393.022222,310.1,768.3333333
3558.367028,704.155799,2857.5,662.7722222,707.9398809,1027.835714
3533.989806,704.8516017,5372.779762,2415.060582,175.5654762,415.7333333
3541.653901,702.2182507,751.3333333,2103.430556,484.6666667,859.7952381
3553.975667,701.8750133,2044.816667,744.9666667,436.8333333,388.6388889
3563.076237,707.9544957,597,613.4444444,824.7,183
3567.692776,702.5107493,2907.833333,900.25,826.6666667,1679.366667
3550.604789,703.0730529,5241.666667,3309.811905,182.5650794,769.902886
3552.26093,703.882761,627,895.5833334,737.6166667,166
3557.753562,700.8294395,196,4279.855556,329.4166667,72
3563.789275,702.8431457,8092.5,3867.100739,539.9583334,97
3554.917247,699.0177245,1304.716667,659.5555556,1376.060317,176.2285714
