effort,defective,non-defective,benefit,cost
431.87017242712426,189,271,107,0.0
336.7857142857143,17,444,107,0.0
726.7799999999999,8,453,107,0.0
279.0,2,459,107,0.0
134.83333335,3,458,107,0.0
585.6666666666666,3,458,107,0.0
292.8666666666667,3,458,107,0.0
273.075,6,455,107,0.0
88.6818182,2,459,107,0.0
678.81666666,6,455,107,0.0
121.0,1,460,107,0.0
0.0,0,461,107,0.0
484.0,3,458,107,0.0
788.0,3,458,107,0.0
356.0,1,460,107,0.0
521.4,1,460,107,0.0
275.16666665,3,458,107,0.0
0.0,1,460,107,0.0
0.0,2,459,107,0.0
412.00000000000006,1,460,107,0.0
411.0,2,459,107,0.0
572.0,2,459,107,0.0
182.66666666666666,3,458,107,0.0
0.0,0,461,107,0.0
476.0,3,458,107,0.0
183.83333333333331,6,455,107,0.0
0.0,3,458,107,0.0
278.333333325,4,457,107,0.0
261.5,2,459,107,0.0
342.3958333333333,5,456,107,0.0
0.0,2,459,107,0.0
206.00000000000003,2,459,107,0.0
0.0,0,461,107,0.0
329.6666666666667,4,457,107,0.0
0.0,4,457,107,0.0
109.5,3,458,107,0.0
161.0,2,459,107,0.0
0.0,0,461,107,0.0
54.5,4,457,107,0.0
332.0,2,459,107,0.0
358.0,2,459,107,0.0
0.0,0,461,107,0.0
111.33333333333334,4,457,107,0.0
414.0,2,459,107,0.0
0.0,0,461,107,0.0
686.0,2,459,107,0.0
0.0,0,461,107,0.0
354.1666667,1,460,107,0.0
0.0,4,457,107,0.0
280.5,2,459,107,0.0
582.0,4,457,107,0.0
0.0,0,461,107,0.0
0.0,0,461,107,0.0
377.25,4,457,107,0.0
193.3636364,5,456,107,0.0
0.0,0,461,107,0.0
168.9,5,456,107,0.0
0.0,3,458,107,0.0
236.66666669999998,2,459,107,0.0
0.0,2,459,107,0.0
353.5,3,458,107,0.0
62.25000000000001,2,459,107,0.0
0.0,1,460,107,0.0
311.7,2,459,107,0.0
0.0,1,460,107,0.0
226.99999999999997,3,458,107,0.0
0.0,2,459,107,0.0
208.25000000000003,1,460,107,0.0
201.75,2,459,107,0.0
0.0,1,460,107,0.0
0.0,1,460,107,0.0
0.0,2,459,107,0.0
391.5,2,459,107,0.0
0.0,2,459,107,0.0
307.8333333333333,3,458,107,0.0
0.0,1,460,107,0.0
390.33333333,2,459,107,0.0
93.4,5,456,107,0.0
0.0,2,459,107,0.0
476.0,1,460,107,0.0
0.0,1,460,107,0.0
185.5,2,459,107,0.0
379.0,3,458,107,0.0
0.0,1,460,107,0.0
708.8,3,458,107,0.0
0.0,1,460,107,0.0
0.0,0,461,107,0.0
0.0,0,461,107,0.0
143.33333333333334,3,458,107,0.0
0.0,2,459,107,0.0
0.0,2,459,107,0.0
0.0,2,459,107,0.0
226.58333333000002,4,457,107,0.0
31.125000000000004,4,457,107,0.0
0.0,1,460,107,0.0
687.0,1,460,107,0.0
38.5,2,459,107,0.0
189.83333335,4,457,107,0.0
465.25,3,458,107,0.0
0.0,1,460,107,0.0
