effort,defective,non-defective
3617.6088495691984,531,467
3549.234275871532,818,180
3573.226159878014,818,180
3530.597754003665,704,294
3508.998783833978,626,372
3547.482936411494,496,502
3552.7659158509277,497,501
3555.2628630421045,498,500
3560.86790017993,504,494
3546.0538020070526,498,500
3556.2810785281727,500,498
3556.799600873413,499,499
3583.1834826545364,492,506
3555.7604007207074,496,502
3553.744116512865,503,495
3541.9799101289873,499,499
3551.236305840602,497,501
3554.601366427117,502,496
3556.196324292496,501,497
3547.626766862373,498,500
3569.3047696287395,506,492
3564.5930916406555,498,500
3561.517492813142,500,498
3556.958016329032,498,500
3558.39184631964,501,497
3552.036470545241,500,498
3558.3670281959035,499,499
3533.989805913107,496,502
3541.6539007203646,500,498
3553.975667140862,495,503
3563.0762365181477,498,500
3567.692776108739,496,502
3550.604788863374,498,500
3552.260929940691,499,499
3557.753561692027,499,499
3563.789274761399,503,495
3554.917247413551,496,502
3549.128932143247,497,501
3552.166469969266,499,499
3590.8902497513664,497,501
3560.6265316323115,500,498
3557.4751445418365,497,501
3560.558671551724,498,500
3563.848328157256,498,500
3563.9533581185397,504,494
3563.29179421309,502,496
3556.373440706162,499,499
3562.514762361564,497,501
3551.0749583047605,497,501
3550.415234034081,499,499
3557.4363555148193,500,498
3556.9716821336656,497,501
3558.1571412325034,498,500
3556.613277508191,498,500
3549.2984622212484,498,500
3557.8163390677582,498,500
3554.4903623856408,499,499
3547.7784762528713,496,502
3557.19866066106,498,500
3548.6309617158345,496,502
3554.533794830475,500,498
3558.9096967533796,499,499
3546.7689099255267,498,500
3548.1373189347964,497,501
3558.9573540961346,498,500
3554.929016652559,499,499
3540.229860569881,496,502
3556.800608924065,498,500
3442.8238606613963,495,503
3551.682039933048,500,498
3557.5666925092,497,501
3545.6614011222514,496,502
3565.1955781085585,496,502
3558.6758213716053,497,501
3555.651595180178,499,499
3540.5189661943305,496,502
3556.939232830327,500,498
3558.954283692181,500,498
3557.9931395471226,498,500
3551.5532702020246,496,502
3551.0269244796673,498,500
3556.6715495796875,497,501
3560.515559608736,500,498
3545.627925018362,503,495
3558.3935103266076,498,500
3556.018855718972,499,499
3545.2496666515035,498,500
3554.0915566435924,496,502
3566.014455890995,496,502
3555.178015100162,499,499
3548.525169489633,499,499
3553.8452103358777,495,503
3565.1695882136737,497,501
3550.6736628476824,501,497
3550.260905518571,498,500
3552.049203909461,500,498
3553.554692902249,498,500
3554.4486746488374,500,498
3549.7937463744433,497,501
3541.1926756814364,498,500
