effort,defective,non-defective
600.20515185848,242,757
622.2016435092199,505,493
674.0077484424343,807,191
625.1427100990744,511,487
588.7757745573091,249,749
608.3353890450115,302,696
605.141986636914,278,721
601.2409917676823,275,723
619.5969065257598,364,634
657.1991029823148,449,549
675.6860749633335,793,205
700.901225652163,502,496
703.8224522684939,500,498
704.2495886876243,507,491
701.2110238251603,499,499
704.8056640337153,501,497
701.0723072769061,504,494
705.1359630814108,506,492
704.2027808839237,504,494
703.8142461475089,500,498
702.381765607364,503,495
715.3946856965807,505,493
706.7126762906666,499,499
703.7386150214193,501,497
703.5317959754539,504,494
711.8375153440039,503,495
704.1557990319103,507,491
704.8516016597514,500,498
702.2182507482303,503,495
701.8750133149451,503,495
707.9544956622987,498,500
702.5107492996514,504,494
703.073052867862,501,497
703.8827609717363,506,492
700.8294395218354,501,497
702.8431457305461,502,496
699.0177245469032,502,496
698.2935551574882,499,499
703.9888480015487,503,495
706.5708164041731,499,499
686.3701002291696,498,500
706.3241751406606,502,496
700.245592567801,505,493
702.2219063410523,502,496
697.718257313891,502,496
698.8928252710663,501,497
701.9652616433291,502,496
693.869978231312,498,500
722.7160810332052,499,499
708.2887904676542,499,499
702.120215347576,501,497
706.559840905817,500,498
702.7121441012446,502,496
702.3464503254868,502,496
703.9726918962739,501,497
701.6757980341647,504,494
702.1637704890232,504,494
702.827501140604,504,494
701.117250774006,503,495
701.8849886612331,496,502
704.478993166101,505,493
702.8761268048695,502,496
704.959222842783,499,499
704.8558601370263,501,497
703.1508537393083,504,494
702.3308614754669,502,496
704.5278095940497,503,495
703.9393324387626,502,496
703.4441267247256,503,495
706.5690058245268,502,496
710.9745466217828,501,497
703.2061270091313,501,497
699.179195569401,502,496
702.5495997666583,504,494
703.3309907327146,503,495
702.3780153863736,504,494
702.0121029254067,498,500
695.390355591057,500,498
702.3322516408238,504,494
699.7308572176341,501,497
702.0024379475135,498,500
700.4200859266717,499,499
703.3449188303679,502,496
703.598077140444,503,495
703.2777424337027,502,496
655.0271032450503,432,566
680.6337752012436,808,190
695.5126167091231,498,500
700.8770107872419,496,502
695.957377800562,497,501
697.0765047128708,501,497
695.7383997377905,500,498
696.8754284860754,499,499
695.6721279268234,498,500
696.6223174246563,496,502
701.9996301550792,494,504
692.31715938418,496,502
695.16693887868,497,501
702.4283727792858,498,500
696.2371006904926,501,497
