effort,defective,non-defective
4313.827465499311,127,871
2004.141666583333,5,994
5595.1666667291665,8,991
1720.3,5,994
2794.256746512302,10,989
2454.25,2,997
3413.000793595238,7,992
1350.6702380866666,8,991
1651.2916666666667,4,995
2017.0,4,995
1469.0,2,997
3833.8333333333335,3,996
4521.0833335,4,995
2754.5,3,996
2760.375,2,997
2738.326689078895,17,982
1437.752380952381,7,992
1499.2916666333335,4,995
1396.7063491999997,7,992
3676.33333335,2,997
2222.985714285714,7,992
1122.0587301587302,10,989
2227.5,4,995
419.2857143,2,997
1270.6333333333332,5,994
706.1166666666667,6,993
2857.5,3,996
5372.7797619047615,7,992
751.3333333333333,3,996
2044.8166666666668,5,994
597.0,3,996
2907.8333331666668,6,993
5241.666666666667,3,996
627.0,4,995
196.0,2,997
8092.5,5,994
1304.7166666666667,5,994
1508.5,2,997
1326.475396814286,7,992
1405.1833333333334,5,994
3929.4565295815296,11,988
638.5,2,997
3324.1833332666665,6,993
2175.049999991667,5,994
3771.8333333333335,5,994
998.4444444333334,3,996
3131.140476190476,7,992
1117.5,3,996
2697.7833336,5,994
2819.083333333333,3,996
903.3333333333334,3,996
1064.3333333333335,4,995
1883.5357142857142,7,992
1621.0833333333333,4,995
1455.6666666666667,4,995
6934.671428571429,7,992
1953.9166666666667,5,994
466.74999999999994,2,997
640.3333333,2,997
1620.5,4,995
1213.1153846,5,994
485.8611111,4,995
742.1666666666666,3,996
3658.9166666666665,4,995
4851.116666666668,5,994
2375.2833333333333,5,994
2017.9166666666667,4,995
2522.5333333333333,6,993
130.5,2,997
2388.5000000083337,4,995
624.0,2,997
3545.0833333333335,4,995
3841.5000000333334,4,995
3320.55,6,993
1901.5531746031747,10,989
3373.6666666666665,5,994
744.5,3,996
5339.416666666667,4,995
2096.1666668333332,4,995
3430.0690476190475,7,992
1154.7273809575397,9,990
3395.05873015873,10,989
1168.7916666666667,5,994
2608.0,3,996
1289.7,6,993
2137.1833333333334,5,994
2520.1781746031743,9,990
951.8333333333334,3,996
2760.7797619047615,7,992
2361.6333333266666,5,994
24.0,1,998
1335.8416666666667,5,994
280.75,4,995
874.6666666666666,4,995
6679.316666666667,5,994
4044.249999993333,5,994
7114.25,4,995
2562.6571428571424,7,992
4107.742857091905,10,989
6569.344444433334,5,994
