effort,defective,non-defective,benefit,cost
4113.825757273649,239,29243,9803,145313.71018559998
5795.484828872742,157,29325,9803,145313.71018559998
3385.5538703441853,149,29333,9803,145313.71018559998
3168.507443354095,153,29329,9803,145313.71018559998
3968.682741223668,133,29349,9803,145313.71018559998
4390.071770306334,145,29337,9803,145313.71018559998
4040.5933400879185,141,29341,9803,145313.71018559998
4006.770026498462,125,29357,9803,145313.71018559998
4804.705284445062,162,29320,9803,145313.71018559998
4613.133668952065,153,29329,9803,145313.71018559998
