effort,defective,non-defective
1342.662272011613,106,893
1107.9721401174604,9,990
408.3333333333333,5,994
512.6666666666667,3,996
520.1345238095238,8,991
1066.3333333333333,3,996
1595.3267857142855,9,990
794.1738095238095,7,992
916.0999999833334,5,994
516.5833333333334,4,995
432.24696973333334,6,993
1264.5833333333333,4,995
700.6916666666667,5,994
727.2666666666667,6,993
286.0952380666667,3,996
762.8229166666667,4,995
620.1666666666667,4,995
838.5416666583333,5,994
510.83333330000005,3,996
663.95,5,994
1148.507029483333,8,991
816.9166666666665,4,995
953.9476190469522,7,992
888.7,5,994
246.5,2,997
310.1,5,994
707.9398809482143,9,990
175.56547618833332,3,996
484.66666668333335,3,996
436.8333333333333,5,994
824.6999999666666,6,993
826.6666666583333,4,995
182.56507936552381,7,992
737.6166666666668,5,994
329.4166667,4,995
539.9583333666667,4,995
1376.0603174755952,8,991
136.6527778,2,997
659.1666666666667,4,995
362.16666668666664,3,996
338.1666666666667,3,996
751.5,3,996
461.7,6,993
866.0,1,998
826.5731481477776,9,990
261.0555555555,4,995
217.33333333333331,3,996
270.625,3,996
1171.3333333333333,3,996
625.9931077693333,5,994
608.0,1,998
1390.6,5,994
1545.790476190476,7,992
721.0333333333334,3,996
593.6333333333334,6,993
808.8583333333333,6,993
181.41666666666666,4,995
718.1820512666667,5,994
584.2333333333332,5,994
888.375,4,995
808.0833333366666,6,993
961.875,4,995
1035.0,2,997
922.8833333333333,7,992
434.5833333333333,4,995
513.25,4,995
722.0766666666666,6,993
643.357142855,6,993
462.9666666666667,5,994
571.5976190433332,5,994
1008.8,5,994
1154.4803921575,4,995
467.6559523809524,7,992
665.3636364,4,995
740.4999999916668,5,994
544.0,4,995
552.3166666666667,5,994
727.4166666833333,4,995
9.25,2,997
381.475,5,994
141.5,2,997
1211.4166666666667,5,994
558.4833333333333,5,994
396.5113095246428,7,992
876.0,3,996
1378.7,5,994
785.2915343956826,9,990
215.08333333333334,4,995
1037.1333333333334,5,994
1397.3333333333333,4,995
215.91159420333332,6,993
253.00000000000003,1,998
398.1666666666667,4,995
912.6071428571429,9,990
1331.8059523809522,8,991
664.3333333333334,4,995
273.2422619053333,5,994
706.9785714285714,8,991
669.8758503380952,7,992
198.625,4,995
