effort,defective,non-defective
1490.8318271889339,109,889
499.8555555666667,5,994
718.3642857138094,8,991
32.111111111,2,997
676.9583333333333,4,995
276.3333333,1,998
858.5595238095239,7,992
869.65,6,993
382.78333333333336,5,994
712.2190476190477,7,992
799.0749999666667,5,994
442.6666666666667,3,996
469.83333333333337,3,996
765.9023809690475,9,990
302.11904761904765,8,991
80.75,2,997
1062.7083333,4,995
444.7857142857143,7,992
767.0666666666666,6,993
1004.5571428571428,7,992
1096.6666666666667,6,993
199.5,4,995
514.5,2,997
245.45833333333334,4,995
282.29047619047617,7,992
768.3333333333333,4,995
1027.8357142846032,9,990
415.7333333333333,6,993
859.7952380952381,7,992
388.6388889,6,993
183.0,2,997
1679.3666666666666,5,994
769.902886002886,11,988
166.0,1,998
72.0,3,996
97.0,1,998
176.22857142857143,7,992
698.7208333333333,6,993
548.8689024399999,4,995
288.5259803926666,5,994
676.6666666683334,5,994
665.3777777833333,5,994
974.0583333333334,5,994
460.41666666666663,4,995
820.9166666666666,4,995
573.0999999916667,6,993
489.7500000033333,4,995
576.75,4,995
719.0,1,998
359.6,5,994
349.5083333333333,6,993
735.35,4,995
146.0,2,997
438.9583333333333,4,995
646.8724206344446,9,990
661.2722222222222,9,990
897.802380952381,7,992
99.52222221666666,6,993
820.5416666666666,4,995
1324.637481962482,11,988
1484.5714285673332,7,992
424.8333333333333,3,996
1024.1666666666667,3,996
675.7380952380953,8,990
283.51666666666665,5,994
197.5,4,995
197.3,3,996
362.5,3,996
463.25,4,995
425.2838023072619,8,991
564.8666666583334,6,993
1032.121693121619,7,992
176.5,3,996
243.7142857,7,992
882.0,3,996
1080.6301587301587,10,989
105.5,3,996
56.0,1,998
109.0,3,996
159.6875,3,996
653.4063491952381,7,992
551.5,1,998
454.43285714285713,7,992
220.99999999999997,1,998
512.3636364,3,996
430.0,3,996
690.53333334,6,993
575.6600000000001,6,993
493.5583333333334,5,994
1005.14444445,7,992
762.7416666666668,5,994
429.8675925933333,8,991
393.1,5,994
300.4060606058333,6,993
567.0,3,996
782.6154761883333,5,994
1336.084523809524,7,992
446.082258065,6,993
318.3333333341667,4,995
517.5,4,995
