effort,defective,non-defective,benefit,cost
978.3101178032567,136,3950,214,9079.708333330002
734.0764574561713,23,4063,214,9079.708333330002
808.6790412085534,20,4066,214,9079.708333330002
1782.7547597019332,18,4068,214,9079.708333330002
920.8107616396504,30,4056,214,9079.708333330002
1679.0841519563744,14,4072,214,9079.708333330002
741.4956626580966,20,4066,214,9079.708333330002
1550.081669868612,31,4055,214,9079.708333330002
970.8566405833074,16,4070,214,9079.708333330002
974.4706567107671,21,4065,214,9079.708333330002
2272.546290896015,20,4066,214,9079.708333330002
1772.1226982086628,19,4067,214,9079.708333330002
