bugzilla,columba,jdt,mozilla,platform,postgres
1018.623435,591.9269489,673.6544602,4380.455613,791.1067969,874.2988069
469.9752692,311.8609195,668.7957495,3079.454079,565.4015309,454.8723277
183.75,169.9444444,680.7106667,3246.649072,1189.419717,332.4496032
0,122.6666667,834.9069791,4642.099611,424.2952969,1049.990278
195,132.2727273,651.7674134,3426.682387,1683.351709,662.9
37,386.5,964.8054547,4349.116592,612.0368038,272.3547619
139.5,398.4190476,655.8201752,3779.007929,2558.377217,398.2846243
0,11,599.8270147,2078.242727,1552.11582,518.4075191
990.5,134.6428571,826.2992718,4480.88961,1684.129366,1007.867857
93,275.3571429,487.4202237,4541.952652,1027.490741,974.1371392
